#JD	U	B	V	R	I	g	r	i
2456339.00	–	–	–	–	–	–	>18.500	–	6
2456341.00	–	–	–	–	–	–	17.600 ± 0.095	–	6
2456342.70	–	–	–	–	–	–	15.093 ± 0.095	–	5
2456343.79	–	–	–	–	–	15.007 ± 0.022	15.094 ± 0.047	15.297 ± 0.010	2,5
2456344.43	14.231 ± 0.040	–	–	14.873 ± 0.015	14.767 ± 0.030	–	–	–	1
2456344.84	–	14.812 ± 0.015	14.779 ± 0.012	–	–	14.805 ± 0.018	14.874 ± 0.011	14.956 ± 0.017	5
2456345.07	–	–	–	–	–	14.964 ± 0.016	14.767 ± 0.068	14.994 ± 0.064	3
2456345.84	–	14.813 ± 0.015	14.747 ± 0.018	–	–	14.825 ± 0.018	14.759 ± 0.017	14.855 ± 0.013	5
2456346.40	14.173 ± 0.040	14.804 ± 0.025	–	14.730 ± 0.014	14.586 ± 0.029	–	–	–	1
2456346.84	–	14.793 ± 0.013	14.705 ± 0.023	–	–	14.734 ± 0.028	14.744 ± 0.037	14.740 ± 0.030	5
2456347.84	–	14.793 ± 0.014	–	–	–	14.761 ± 0.013	14.699 ± 0.010	14.763 ± 0.012	5
2456348.30	14.231 ± 0.041	14.868 ± 0.025	–	14.677 ± 0.014	14.517 ± 0.030	–	–	–	1
2456348.84	–	14.838 ± 0.015	14.691 ± 0.019	–	–	14.776 ± 0.013	14.721 ± 0.025	14.776 ± 0.016	5
2456349.84	–	14.871 ± 0.011	14.729 ± 0.021	–	–	14.751 ± 0.020	14.717 ± 0.021	14.786 ± 0.009	5
2456350.40	14.342 ± 0.041	14.885 ± 0.025	–	14.698 ± 0.014	14.552 ± 0.030	–	–	–	1
2456350.84	–	14.880 ± 0.014	14.783 ± 0.011	–	–	14.903 ± 0.013	14.685 ± 0.022	14.871 ± 0.021	5
2456351.30	14.402 ± 0.041	14.916 ± 0.025	–	14.712 ± 0.014	14.580 ± 0.029	–	–	–	1
2456351.84	–	14.860 ± 0.015	14.814 ± 0.018	–	–	14.831 ± 0.016	14.741 ± 0.014	14.822 ± 0.015	5
2456352.36	14.497 ± 0.040	14.974 ± 0.025	–	14.733 ± 0.014	14.612 ± 0.029	–	–	–	1
2456352.94	–	15.018 ± 0.005	14.901 ± 0.006	–	–	14.935 ± 0.005	14.809 ± 0.005	14.911 ± 0.009	5
2456353.94	–	14.950 ± 0.006	14.889 ± 0.010	–	–	14.925 ± 0.007	14.777 ± 0.009	14.934 ± 0.009	5
2456354.89	–	15.092 ± 0.017	14.826 ± 0.018	–	–	14.917 ± 0.003	14.798 ± 0.006	14.951 ± 0.007	5
2456355.94	–	15.046 ± 0.005	14.920 ± 0.005	–	–	14.957 ± 0.005	14.802 ± 0.005	14.945 ± 0.009	5
2456356.34	14.715 ± 0.040	15.073 ± 0.025	–	14.770 ± 0.014	14.668 ± 0.029	–	–	–	1
2456356.82	–	15.102 ± 0.023	14.885 ± 0.018	–	–	14.972 ± 0.015	14.753 ± 0.024	14.893 ± 0.027	5
2456357.82	–	15.122 ± 0.012	14.905 ± 0.021	–	–	15.007 ± 0.019	14.750 ± 0.026	14.930 ± 0.023	5
2456358.35	14.879 ± 0.040	15.124 ± 0.025	–	14.768 ± 0.014	14.652 ± 0.029	–	–	–	1
2456359.32	14.951 ± 0.040	15.162 ± 0.025	–	14.762 ± 0.014	14.642 ± 0.029	–	–	–	1
2456359.81	–	15.198 ± 0.017	–	–	–	–	–	–	5
2456360.86	–	15.196 ± 0.016	14.886 ± 0.012	–	–	15.026 ± 0.009	14.783 ± 0.009	–	5
2456361.85	–	15.254 ± 0.016	14.935 ± 0.026	–	–	15.075 ± 0.012	14.832 ± 0.013	14.934 ± 0.015	5
2456362.83	–	15.236 ± 0.010	14.963 ± 0.014	–	–	15.067 ± 0.016	14.814 ± 0.019	14.939 ± 0.021	5
2456363.87	–	15.363 ± 0.016	14.952 ± 0.019	–	–	15.091 ± 0.014	14.827 ± 0.004	14.923 ± 0.004	5
2456364.30	15.503 ± 0.041	15.354 ± 0.025	14.994 ± 0.012	14.756 ± 0.014	14.605 ± 0.029	–	–	–	1
2456365.94	–	15.422 ± 0.012	15.036 ± 0.013	–	–	15.202 ± 0.011	14.890 ± 0.015	14.985 ± 0.018	5
2456367.38	15.819 ± 0.042	15.486 ± 0.025	15.056 ± 0.012	14.793 ± 0.014	14.636 ± 0.029	–	–	–	1
2456371.44	16.145 ± 0.044	15.665 ± 0.025	15.166 ± 0.012	14.867 ± 0.014	14.693 ± 0.029	–	–	–	1
2456371.94	–	15.695 ± 0.007	15.113 ± 0.005	–	–	15.383 ± 0.003	14.934 ± 0.004	15.035 ± 0.007	5
2456373.21	16.243 ± 0.053	–	15.203 ± 0.013	14.900 ± 0.015	14.692 ± 0.031	–	–	–	1
2456375.93	–	15.812 ± 0.010	15.230 ± 0.007	–	–	15.464 ± 0.005	15.003 ± 0.005	–	5
2456376.40	–	15.848 ± 0.027	15.248 ± 0.013	14.927 ± 0.014	–	–	–	–	1
2456377.25	16.633 ± 0.059	15.866 ± 0.027	15.257 ± 0.009	14.936 ± 0.015	14.718 ± 0.030	–	–	–	1
2456377.88	–	15.911 ± 0.012	15.245 ± 0.012	–	–	–	–	–	5
2456380.31	16.681 ± 0.062	15.968 ± 0.028	15.282 ± 0.013	14.966 ± 0.015	14.729 ± 0.030	–	–	–	1
2456381.28	16.814 ± 0.104	15.982 ± 0.029	15.303 ± 0.013	14.971 ± 0.014	14.722 ± 0.030	–	–	–	1
2456382.37	16.910 ± 0.066	16.035 ± 0.027	15.316 ± 0.013	14.997 ± 0.015	14.763 ± 0.029	–	–	–	1
2456383.88	–	16.068 ± 0.013	15.278 ± 0.014	–	–	15.619 ± 0.014	15.073 ± 0.017	15.083 ± 0.018	5
2456387.89	–	16.073 ± 0.204	15.277 ± 0.025	–	–	15.640 ± 0.020	15.064 ± 0.026	15.074 ± 0.028	5
2456388.33	17.143 ± 0.055	16.074 ± 0.026	15.307 ± 0.012	14.986 ± 0.014	14.736 ± 0.029	–	–	–	1
2456388.90	–	16.183 ± 0.030	–	–	–	–	–	–	5
2456389.35	17.200 ± 0.042	16.087 ± 0.018	15.317 ± 0.008	15.117 ± 0.010	14.731 ± 0.021	–	–	–	1
2456389.89	–	16.203 ± 0.010	15.340 ± 0.012	–	–	15.693 ± 0.013	15.110 ± 0.014	15.119 ± 0.012	5
2456393.38	17.429 ± 0.047	16.243 ± 0.026	15.381 ± 0.012	15.032 ± 0.014	14.751 ± 0.029	–	–	–	1
2456394.35	17.487 ± 0.073	16.243 ± 0.026	15.383 ± 0.012	15.030 ± 0.014	14.748 ± 0.029	–	–	–	1
2456396.86	–	16.362 ± 0.011	15.372 ± 0.010	–	–	15.771 ± 0.008	15.167 ± 0.008	15.194 ± 0.009	5
2456397.27	17.522 ± 0.052	16.288 ± 0.026	15.403 ± 0.012	15.042 ± 0.014	14.761 ± 0.029	–	–	–	1
2456401.82	–	16.402 ± 0.014	15.373 ± 0.011	–	–	15.838 ± 0.007	15.197 ± 0.010	15.122 ± 0.013	5
2456402.82	–	16.390 ± 0.012	15.420 ± 0.010	–	–	15.804 ± 0.006	15.229 ± 0.009	15.191 ± 0.012	5
2456403.82	–	16.444 ± 0.018	15.387 ± 0.014	–	–	15.793 ± 0.013	15.153 ± 0.018	15.150 ± 0.016	5
2456405.27	17.637 ± 0.098	16.415 ± 0.022	15.430 ± 0.009	15.061 ± 0.016	14.787 ± 0.030	–	–	–	1
2456405.82	–	16.330 ± 0.026	15.411 ± 0.012	–	–	15.820 ± 0.014	15.182 ± 0.019	15.143 ± 0.017	5
2456406.30	–	–	15.422 ± 0.017	15.084 ± 0.015	14.781 ± 0.030	–	–	–	1
2456408.78	–	–	–	–	–	15.874 ± 0.018	15.099 ± 0.016	–	5
2456410.78	–	16.480 ± 0.019	15.406 ± 0.014	–	–	15.818 ± 0.011	15.129 ± 0.016	15.137 ± 0.016	5
2456411.78	–	16.520 ± 0.014	15.437 ± 0.011	–	–	15.858 ± 0.009	15.187 ± 0.008	15.175 ± 0.012	5
2456412.78	–	16.557 ± 0.013	15.486 ± 0.012	–	–	15.889 ± 0.011	15.227 ± 0.010	15.246 ± 0.013	5
2456414.27	17.740 ± 0.053	–	15.444 ± 0.013	15.086 ± 0.014	14.792 ± 0.030	–	–	–	1
2456415.77	–	16.617 ± 0.025	15.498 ± 0.015	–	–	15.885 ± 0.011	15.231 ± 0.012	–	5
2456418.25	17.841 ± 0.094	–	15.466 ± 0.012	15.107 ± 0.014	14.820 ± 0.021	–	–	–	1
2456419.26	17.920 ± 0.086	–	15.457 ± 0.012	15.094 ± 0.014	14.802 ± 0.029	–	–	–	1
2456420.77	–	16.620 ± 0.027	15.562 ± 0.019	–	–	15.985 ± 0.015	15.298 ± 0.013	15.224 ± 0.021	5
2456421.29	18.113 ± 0.061	–	15.494 ± 0.012	15.123 ± 0.015	14.815 ± 0.030	–	–	–	1
2456422.22	18.070 ± 0.057	–	15.510 ± 0.009	15.119 ± 0.015	14.823 ± 0.030	–	–	–	1
2456425.24	18.069 ± 0.078	–	15.567 ± 0.013	15.174 ± 0.015	14.815 ± 0.032	–	–	–	1
2456425.74	–	16.793 ± 0.023	15.621 ± 0.015	–	–	16.084 ± 0.010	15.360 ± 0.011	15.329 ± 0.014	5
2456427.74	–	16.874 ± 0.021	15.653 ± 0.014	–	–	16.127 ± 0.010	15.360 ± 0.009	15.349 ± 0.013	5
2456428.76	–	16.827 ± 0.021	15.597 ± 0.013	–	–	16.093 ± 0.015	15.337 ± 0.012	–	5
2456430.24	18.634 ± 0.147	–	15.668 ± 0.013	15.223 ± 0.014	14.926 ± 0.030	–	–	–	1
2456431.21	–	–	15.718 ± 0.010	15.279 ± 0.015	14.969 ± 0.031	–	–	–	1
2456432.19	–	–	15.740 ± 0.015	15.298 ± 0.016	14.978 ± 0.031	–	–	–	1
2456432.76	–	17.002 ± 0.021	15.764 ± 0.015	–	–	16.256 ± 0.021	15.474 ± 0.027	15.425 ± 0.025	5
2456434.22	–	–	15.783 ± 0.015	15.350 ± 0.012	15.025 ± 0.034	–	–	–	1
2456434.73	–	17.154 ± 0.034	15.864 ± 0.014	–	–	16.382 ± 0.013	15.523 ± 0.016	15.466 ± 0.020	5
2456435.22	–	17.002 ± 0.030	15.850 ± 0.011	15.390 ± 0.012	15.048 ± 0.023	–	–	–	1
2456436.23	–	17.075 ± 0.047	15.950 ± 0.022	15.456 ± 0.019	15.129 ± 0.034	–	–	–	1
2456437.24	–	17.191 ± 0.062	16.017 ± 0.022	15.543 ± 0.020	15.204 ± 0.037	–	–	–	1
2456437.73	–	17.383 ± 0.125	16.092 ± 0.044	–	–	16.621 ± 0.052	15.738 ± 0.047	15.605 ± 0.033	5
2456438.33	–	17.213 ± 0.089	16.081 ± 0.032	15.613 ± 0.021	15.270 ± 0.036	–	–	–	1
2456439.22	–	17.417 ± 0.040	16.191 ± 0.015	15.677 ± 0.017	15.293 ± 0.033	–	–	–	1
2456439.73	–	17.671 ± 0.021	16.264 ± 0.011	–	–	16.816 ± 0.008	15.842 ± 0.010	15.749 ± 0.010	5
2456440.20	18.856 ± 0.355	17.505 ± 0.037	16.254 ± 0.014	15.729 ± 0.017	15.335 ± 0.032	–	–	–	1
2456441.26	18.513 ± 0.293	17.638 ± 0.038	16.382 ± 0.014	15.829 ± 0.019	15.417 ± 0.033	–	–	–	1
2456441.73	–	17.841 ± 0.024	16.517 ± 0.029	–	–	17.030 ± 0.011	16.018 ± 0.008	15.922 ± 0.014	5
2456442.73	–	18.019 ± 0.021	16.605 ± 0.014	–	–	17.199 ± 0.014	16.128 ± 0.011	16.017 ± 0.010	5
2456443.30	–	17.844 ± 0.038	16.594 ± 0.015	16.004 ± 0.017	–	–	–	–	1
2456443.74	–	18.170 ± 0.039	16.736 ± 0.020	–	–	17.345 ± 0.015	16.241 ± 0.013	–	5
2456444.73	–	18.259 ± 0.025	16.800 ± 0.018	–	–	17.422 ± 0.012	16.289 ± 0.010	16.204 ± 0.020	5
2456445.73	–	18.485 ± 0.051	16.894 ± 0.027	–	–	17.548 ± 0.018	16.370 ± 0.015	16.256 ± 0.023	5
2456447.68	–	18.599 ± 0.046	17.113 ± 0.023	–	–	17.734 ± 0.021	16.529 ± 0.017	16.411 ± 0.022	5
2456448.28	–	–	17.048 ± 0.020	16.399 ± 0.022	–	–	–	–	1
2456450.68	–	18.700 ± 0.047	17.207 ± 0.029	–	–	17.888 ± 0.022	16.744 ± 0.018	16.619 ± 0.026	5
2456453.72	–	18.806 ± 0.084	17.278 ± 0.031	–	–	17.962 ± 0.025	16.715 ± 0.026	16.691 ± 0.036	5
2456455.72	–	–	17.316 ± 0.028	–	–	18.003 ± 0.024	16.794 ± 0.021	16.651 ± 0.030	5
2456456.18	19.743 ± 0.527	–	17.291 ± 0.031	16.632 ± 0.025	16.146 ± 0.037	–	–	–	1
2456457.22	19.625 ± 0.411	–	17.293 ± 0.023	16.627 ± 0.024	16.161 ± 0.036	–	–	–	1
2456459.63	–	18.911 ± 0.044	17.414 ± 0.018	–	–	18.053 ± 0.042	16.806 ± 0.017	16.727 ± 0.024	5
2456460.70	–	18.885 ± 0.038	17.362 ± 0.110	–	–	–	–	–	5
2456463.22	–	–	17.446 ± 0.036	16.749 ± 0.026	16.292 ± 0.038	–	–	–	1
2456463.60	–	–	17.478 ± 0.026	–	–	18.052 ± 0.020	–	–	5
2456465.23	–	–	17.463 ± 0.053	16.700 ± 0.034	16.245 ± 0.045	–	–	–	1
2456465.55	–	18.790 ± 0.065	17.454 ± 0.021	–	–	18.007 ± 0.021	16.851 ± 0.012	16.794 ± 0.022	5
2456467.55	–	19.004 ± 0.086	–	–	–	18.032 ± 0.018	16.901 ± 0.013	16.770 ± 0.015	5
2456469.55	–	18.950 ± 0.048	17.519 ± 0.018	–	–	18.091 ± 0.015	16.896 ± 0.011	16.851 ± 0.015	5
2456475.56	–	18.963 ± 0.029	17.623 ± 0.018	–	–	18.190 ± 0.014	16.912 ± 0.012	16.898 ± 0.013	5
2456476.56	–	18.936 ± 0.032	17.533 ± 0.021	–	–	–	16.880 ± 0.017	16.911 ± 0.024	5
2456477.71	–	18.933	–	–	–	–	–	16.990 ± 0.022	5
2456478.71	–	19.027 ± 0.052	17.588 ± 0.020	–	–	18.178 ± 0.024	16.956 ± 0.011	16.937 ± 0.014	5
