 52721.5 i  -452.040   595.049 32.199
 52721.6 r  -290.328   362.730 32.065
 52721.6 g  -580.688   375.455 32.440
 52722.6 g  -284.867   282.374 32.440
 52723.6 i  -556.919  1167.977 32.199
 52730.4 i  -614.000   972.583 32.199
 52730.5 r  -477.001   285.286 32.065
 52730.5 g   -54.099   181.454 32.440
 52753.5 i  -658.376  1323.526 32.199
 52755.5 r  -228.506   306.553 32.065
 52758.4 i   254.361   816.958 32.199
 52759.5 r  -218.735    95.939 32.065
 52783.5 i  5546.933  1154.335 32.199
 52784.4 r  3951.332   408.027 32.065
 52785.4 g  4738.233    81.479 32.440
 52787.5 i  5847.378   930.076 32.199
 52792.3 i  4456.888   665.315 32.199
 52792.4 r  3352.767   261.937 32.065
 52792.4 g  3691.185   365.372 32.440
 52796.5 i  4778.377   377.176 32.199
 52812.4 i  4953.794  1267.443 32.199
 52813.3 g  1420.403   235.267 32.440
 52813.4 r  2779.054   377.348 32.065
 52816.4 i  3950.552  1302.147 32.199
 52817.3 g  1340.878   223.986 32.440
 52817.3 r  2649.494   343.646 32.065
 52820.3 i  4475.748   396.182 32.199
 52824.3 i  4640.900   495.206 32.199
