 52795.6 i  -558.631   152.456 31.781
 52816.5 g  -472.400   169.150 32.443
 52816.6 i  -242.994   135.997 31.781
 52820.6 i  -324.833   120.038 31.781
 52824.6 i  -535.051   404.099 31.781
 52824.6 g  -617.233   221.807 32.443
 52872.5 i  7206.951   647.511 31.781
 52873.4 g  5184.916   145.483 32.443
 52873.4 r  6244.402   139.863 32.045
 52873.5 z  1785.170   211.970 30.737
 52876.4 g  4870.814   120.277 32.443
 52876.4 r  5804.284   231.655 32.045
 52876.5 i  7402.193   307.875 31.781
 52880.4 g  4202.576    97.789 32.443
 52880.4 r  5700.307   152.517 32.045
 52881.4 i  7239.009   189.425 31.781
 52885.5 i  7063.765   563.843 31.781
 52885.5 r  5765.890   645.643 32.045
 52886.4 z  2487.780   258.634 30.737
 52900.4 i  7141.389   333.147 31.781
 52904.3 i  6917.303   284.593 31.781
 52913.3 i  6574.264   327.281 31.781
 52930.3 r  4288.533   694.656 32.045
 52962.3 i  4481.242   803.919 31.781
