 53207.6 r  -337.507    84.661 32.064
 53210.6 i   -68.301   130.316 32.185
 53227.6 i  -227.112   140.368 32.185
 53227.6 r   -81.837   159.509 32.064
 53228.6 z   241.507   154.100 30.742
 53229.6 g  -167.326    41.500 32.486
 53231.6 i  -104.583   190.543 32.185
 53231.6 r  -514.431    68.409 32.064
 53231.6 g  -280.112    46.968 32.486
 53234.6 i  -472.071   133.958 32.185
 53236.6 r   340.921   252.457 32.064
 53236.6 g  -607.102    69.248 32.486
 53239.5 i  -626.739   180.311 32.185
 53239.6 r  -292.332   192.793 32.064
 53239.6 z    22.311   238.116 30.742
 53253.5 i   -35.712   163.023 32.185
 53253.6 r  -306.148    87.097 32.064
 53253.6 z  -122.429   121.390 30.742
 53256.5 z  -463.678    97.666 30.742
 53257.5 i  -303.829   133.242 32.185
 53257.6 r  -468.158    55.140 32.064
 53257.6 g  -436.561    51.895 32.486
 53261.5 i   237.218   256.292 32.185
 53261.5 r  -357.122    81.353 32.064
 53261.5 g  -616.230    55.500 32.486
 53266.5 i   -47.002   201.474 32.185
 53266.5 r  -304.047   142.581 32.064
 53267.5 g  -665.298    92.319 32.486
 53270.5 i  -420.262   110.769 32.185
 53270.6 r  -779.740    74.261 32.064
 53270.6 z   248.178   176.773 30.742
 53282.5 i  8986.901   268.690 32.185
 53282.5 r  5011.692   197.396 32.064
 53282.5 z  1672.402   310.592 30.742
 53286.5 z  1957.324   309.864 30.742
 53287.4 i  8877.180   222.536 32.185
 53287.5 r  4263.388   118.020 32.064
 53287.5 g  5170.800    59.673 32.486
 53293.4 i  9218.671   409.402 32.185
 53293.4 r  4606.672   272.945 32.064
 53293.5 g  4285.755   239.623 32.486
 53297.4 r  4863.128   168.435 32.064
 53297.4 i  8377.286   335.590 32.185
 53297.4 g  3743.604   245.323 32.486
 53299.4 z  2655.083   179.861 30.742
 53300.4 i  9094.969   245.691 32.185
 53300.4 r  4352.092   122.944 32.064
 53311.4 r  4322.971   244.834 32.064
 53311.4 i  7902.138   325.353 32.185
 53313.4 g  1667.326   120.778 32.486
 53316.4 g  1665.878   104.426 32.486
 53316.4 i  8342.221   294.107 32.185
 53316.4 r  3687.288   114.046 32.064
 53322.3 i  7921.024   401.766 32.185
 53322.4 r  3800.590   207.395 32.064
 53322.4 z  2119.672   167.796 30.742
 53328.3 i  7972.342   263.191 32.185
 53328.4 r  3538.365   136.714 32.064
 53328.4 z  2531.306   233.676 30.742
 53330.4 i  7664.593   357.168 32.185
 53330.4 z  2237.129   326.452 30.742
 53343.3 i  8059.904  1305.613 32.185
 53343.4 r  2531.700   517.353 32.064
 53343.4 z  2359.025  1236.230 30.742
 53344.4 z  2291.937   877.274 30.742
 53350.3 i  7101.730   289.003 32.185
 53350.3 r  2454.873   100.710 32.064
 53350.3 g   395.215   130.504 32.486
 53353.2 i  6931.085   283.026 32.185
 53353.3 r  2638.874    94.860 32.064
 53353.3 g   148.526    90.850 32.486
 53353.3 z  1665.852   178.119 30.742
 53356.2 i  6622.191   441.452 32.185
 53356.2 r  3367.023   159.846 32.064
 53356.3 g   425.864   110.446 32.486
 53358.4 i  6449.523  1020.787 32.185
 53358.4 z  1728.956   781.475 30.742
 53376.3 i  6001.868   703.356 32.185
 53376.3 r  2105.059   282.895 32.064
 53376.3 g   -51.779   236.842 32.486
 53379.2 i  5187.061   797.002 32.185
 53385.3 i  4305.974   863.305 32.185
 53385.3 r  1186.594   675.661 32.064
 53386.3 z  1450.561   640.484 30.742
 53390.3 i  5961.039  2330.386 32.185
