# SDSS CID:  20448 IAU:          RA:   8.230529 DEC:   0.577799  (J2000)
# GALAXY_SB [ugriz] = [ 24.24 23.21 21.95 21.55 21.06 ] +/- [  0.31  0.06  0.03  0.02  0.05 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  3.911E-01  1.791E+00  5.954E+00  8.536E+00  1.301E+01 ] +/- [  3.221E-01  9.891E-02  1.461E-01  1.678E-01  6.584E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
   33  54402.343947  2  22.151  0.349  0.112  0.205   4.945e+00   1.573e+00   5.194e-01   9.520e-01  9  sdss  7101  82S  5 
   33  54402.344776  3  23.110  0.931  0.270  0.420   1.833e+00   1.786e+00   5.596e-01   8.706e-01  11  sdss  7101  82S  5 
   32  54402.346435  4  21.501  0.594  0.310  0.451   8.256e+00   5.142e+00   2.814e+00   4.099e+00  11  sdss  7101  82S  5 
   33  54402.345606  0  23.558  2.284  0.297  1.503   1.269e+00   4.419e+00   4.474e-01   2.265e+00  6  sdss  7101  82S  5 
    0  54408.260988  1  22.351  0.137  0.060  0.100   4.064e+00   5.205e-01   2.293e-01   3.825e-01  11  sdss  7127  82S  5 
   32  54408.257671  2  22.483  0.262  0.033  0.199   3.619e+00   8.860e-01   1.154e-01   6.857e-01  9  sdss  7127  82S  5 
   32  54408.258500  3  22.124  0.287  0.088  0.137   4.967e+00   1.338e+00   4.200e-01   6.515e-01  11  sdss  7127  82S  5 
    0  54408.260159  4  20.902  0.264  0.089  0.149   1.522e+01   3.891e+00   1.338e+00   2.226e+00  11  sdss  7127  82S  5 
    0  54408.259329  0  22.642  0.515  0.036  0.429   3.309e+00   1.533e+00   1.124e-01   1.354e+00  6  sdss  7127  82S  5 
    0  54411.218838  1  22.324  0.134  0.058  0.097   4.168e+00   5.191e-01   2.280e-01   3.789e-01  11  sdss  7136  82S  5 
   40  54411.215522  2  22.117  0.158  0.054  0.084   5.104e+00   7.518e-01   2.597e-01   4.035e-01  9  sdss  7136  82S  5 
   32  54411.216351  3  22.342  0.314  0.078  0.126   4.030e+00   1.201e+00   3.042e-01   4.934e-01  11  sdss  7136  82S  5 
    0  54411.218009  4  20.978  0.246  0.011  0.134   1.413e+01   3.402e+00   1.581e-01   1.882e+00  11  sdss  7136  82S  5 
    8  54411.217180  0  22.937  0.587  0.265  0.460   2.478e+00   1.346e+00   6.511e-01   1.127e+00  6  sdss  7136  82S  5 
   32  54413.259658  1  22.535  0.183  0.035  0.220   3.422e+00   5.843e-01   1.126e-01   7.095e-01  11  sdss  7145  82S  5 
   32  54413.256341  2  22.576  0.293  0.029  0.270   3.313e+00   9.090e-01   9.050e-02   8.550e-01  9  sdss  7145  82S  5 
   32  54413.257170  3  22.163  0.311  0.097  0.196   4.785e+00   1.393e+00   4.453e-01   8.985e-01  11  sdss  7145  82S  5 
   32  54413.258829  4  21.960  0.638  0.211  0.523   4.730e+00   4.149e+00   1.385e+00   3.434e+00  11  sdss  7145  82S  5 
    0  54413.258000  0  22.384  0.440  0.100  0.550   4.236e+00   1.666e+00   3.952e-01   2.183e+00  6  sdss  7145  82S  5 
   32  54417.261071  1  22.395  0.150  0.072  0.141   3.901e+00   5.453e-01   2.626e-01   5.143e-01  11  sdss  7158  82S  5 
   32  54417.257754  2  22.358  0.236  0.066  0.213   4.073e+00   8.965e-01   2.529e-01   8.215e-01  9  sdss  7158  82S  5 
