# SDSS CID:   9428 IAU:          RA: 337.291992 DEC:   0.024460  (J2000)
# GALAXY_SB [ugriz] = [ 22.96 22.57 22.24 21.83 21.33 ] +/- [  0.14  0.03  0.03  0.03  0.07 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  2.341E+00  3.303E+00  4.548E+00  6.581E+00  9.811E+00 ] +/- [  3.341E-01  1.077E-01  1.207E-01  1.622E-01  6.762E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
   48  53666.179333  1  22.955  0.254  1.950  0.183   2.300e+00   5.472e-01   4.273e+00   4.006e-01  10  sdss  5763  82S  4 
   48  53666.176016  2  22.714  0.307  1.521  0.140   2.905e+00   8.341e-01   4.229e+00   3.888e-01  11  sdss  5763  82S  4 
   48  53666.176845  3  23.928  0.925  7.812  0.403   5.283e-01   1.286e+00   9.989e+00   5.150e-01  11  sdss  5763  82S  4 
    0  53666.178504  4  22.933  0.803  0.986  0.389  -4.903e-01   4.292e+00   4.830e+00   1.908e+00  10  sdss  5763  82S  4 
   32  53666.177674  0  22.880  0.708  0.866  0.612   2.622e+00   1.641e+00   2.209e+00   1.562e+00  9  sdss  5763  82S  4 
   48  53669.174688  1  23.026  0.269  2.173  0.222   2.149e+00   5.442e-01   4.475e+00   4.575e-01  10  sdss  5776  82S  4 
   48  53669.171372  2  23.470  0.595  3.220  0.313   1.352e+00   8.375e-01   4.749e+00   4.613e-01  11  sdss  5776  82S  4 
   48  53669.172201  3  24.354  0.934  6.885  0.434   9.317e-03   1.247e+00   8.153e+00   5.137e-01  11  sdss  5776  82S  4 
   32  53669.173859  4  21.960  0.686  0.827  0.380   4.733e+00   4.440e+00   5.403e+00   2.480e+00  10  sdss  5776  82S  4 
   16  53669.173030  0  24.951  1.282  2.759  1.587  -2.801e-01   1.567e+00   2.762e+00   1.588e+00  9  sdss  5776  82S  4 
  178  53671.259214  1  24.632  1.533 59.533  5.145   2.959e-01   1.261e+00   3.861e+01   3.336e+00  10  sdss  5786  82S  4 
   18  53671.255897  2  27.214  0.620 12.757  1.086  -3.951e+00   2.096e+00   4.731e+01   4.031e+00  11  sdss  5786  82S  4 
 1170  53671.256726  3  26.345  0.718 17.709  0.990  -3.889e+00   2.417e+00   6.643e+01   3.714e+00  11  sdss  5786  82S  4 
