# SDSS CID:   8598 IAU: 2005jt   RA:  42.667236 DEC:  -0.066005  (J2000)
# GALAXY_SB [ugriz] = [ 24.27 24.89 24.22 23.90 22.73 ] +/- [  0.22  0.11  0.09  0.08  0.08 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  3.585E-01  1.347E-01  4.901E-01  5.599E-01  4.730E-01 ] +/- [  2.244E-01  6.733E-02  7.940E-02  9.946E-02  4.050E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
    1  53657.396457  2  25.641  1.169  0.791  0.608  -7.386e-01   1.268e+00   8.298e-01   6.380e-01  21  sdss  5731  82N  3 
    0  53657.397286  3  23.262  0.995  0.799  0.444   1.536e+00   1.748e+00   1.474e+00   8.189e-01  23  sdss  5731  82N  3 
    0  53657.398945  4  21.849  0.769  0.659  0.431   5.483e+00   5.267e+00   4.626e+00   3.023e+00  21  sdss  5731  82N  3 
 1195  53657.398115  0  23.154  1.641  0.859  1.758   1.987e+00   2.871e+00   1.745e+00   3.572e+00  12  sdss  5731  82N  3 
    1  53663.384438  1  26.903  0.883  0.178  0.183  -1.592e+00   1.211e+00   2.795e-01   2.885e-01  17  sdss  5744  82N  3 
    1  53663.381121  2  25.127  1.180  0.328  0.321  -2.638e-01   1.159e+00   2.737e-01   2.684e-01  21  sdss  5744  82N  3 
    1  53663.381950  3  23.183  0.751  0.148  0.154   1.687e+00   1.395e+00   2.896e-01   3.011e-01  23  sdss  5744  82N  3 
   32  53663.383609  4  22.503  0.770  0.512  0.265   1.631e+00   4.195e+00   2.613e+00   1.351e+00  21  sdss  5744  82N  3 
 1161  53663.382780  0  22.312  0.924  0.267  0.295   4.535e+00   3.223e+00   1.117e+00   1.236e+00  12  sdss  5744  82N  3 
    1  53666.454618  1  23.921  0.958  0.259  0.311   8.562e-01   8.790e-01   2.537e-01   3.052e-01  17  sdss  5765  82N  3 
   33  53666.451301  2  23.873  0.909  0.296  0.272   8.359e-01   9.941e-01   3.283e-01   3.017e-01  21  sdss  5765  82N  3 
    0  53666.452131  3  24.607  0.960  0.272  0.286  -2.931e-01   1.307e+00   3.304e-01   3.474e-01  23  sdss  5765  82N  3 
    0  53666.453789  4  22.846  0.764  0.374  0.286  -6.388e-02   4.042e+00   1.822e+00   1.395e+00  21  sdss  5765  82N  3 
    1  53666.452960  0  22.217  0.683  0.089  0.321   4.961e+00   2.790e+00   4.042e-01   1.466e+00  12  sdss  5765  82N  3 
   33  53668.373999  1  25.111  1.145  0.329  1.240   4.374e-03   8.064e-01   1.935e-01   7.302e-01  17  sdss  5770  82N  3 
    0  53668.370682  2  23.367  0.701  0.223  0.454   1.510e+00   1.047e+00   3.571e-01   7.283e-01  21  sdss  5770  82N  3 
    0  53668.371511  3  23.394  0.956  0.456  0.464   1.303e+00   1.579e+00   7.678e-01   7.825e-01  23  sdss  5770  82N  3 
    0  53668.373170  4  23.763  0.797  0.786  0.562  -5.112e+00   5.311e+00   5.324e+00   3.809e+00  21  sdss  5770  82N  3 
  138  53668.372340  0  21.986  0.456  0.276  0.586   6.162e+00   2.431e+00   1.551e+00   3.296e+00  12  sdss  5770  82N  3 
   33  53669.461661  1  24.699  1.106  0.653  0.678   2.531e-01   7.936e-01   4.131e-01   4.288e-01  17  sdss  5777  82N  3 
    0  53669.458343  2  22.819  0.456  0.164  0.202   2.625e+00   1.107e+00   4.167e-01   5.150e-01  21  sdss  5777  82N  3 
