# SDSS CID:   6127 IAU: 2005iw   RA: 337.323914 DEC:  -0.092448  (J2000)
# GALAXY_SB [ugriz] = [ 24.42 24.83 24.70 24.10 22.63 ] +/- [  0.34  0.15  0.13  0.11  0.12 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  2.048E-01  1.708E-01  7.774E-02  3.177E-01  9.743E-01 ] +/- [  3.316E-01  9.345E-02  1.024E-01  1.375E-01  5.865E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
   17  53635.220287  0  22.535  0.670  1.605  0.476   3.668e+00   2.082e+00   5.511e+00   1.634e+00  7  sdss  5622  82N  3 
   48  53637.215230  1  23.915  0.809  4.151  0.854   8.628e-01   7.537e-01   4.095e+00   8.428e-01  11  sdss  5633  82N  3 
   48  53637.211913  2  24.418  1.037  4.810  0.828   3.134e-01   9.883e-01   4.084e+00   7.033e-01  13  sdss  5633  82N  3 
   16  53637.212743  3  23.040  0.755  2.855  0.445   1.982e+00   1.535e+00   6.210e+00   9.672e-01  14  sdss  5633  82N  3 
    0  53637.214401  4  21.633  0.679  1.055  0.433   7.113e+00   5.301e+00   8.619e+00   3.541e+00  15  sdss  5633  82N  3 
   16  53637.213572  0  24.899  1.587 11.922  3.552  -2.283e-01   2.156e+00   1.181e+01   3.518e+00  7  sdss  5633  82N  3 
   16  53644.207158  1  26.275  0.489  1.559  0.318  -8.172e-01   4.545e-01   1.487e+00   3.037e-01  11  sdss  5670  82N  3 
   16  53644.203841  2  24.105  0.707  1.792  0.299   5.961e-01   6.949e-01   1.737e+00   2.896e-01  13  sdss  5670  82N  3 
   48  53644.204671  3  24.196  0.818  1.863  0.295   1.971e-01   1.071e+00   2.232e+00   3.539e-01  14  sdss  5670  82N  3 
    0  53644.206329  4  23.377  0.605  0.646  0.262  -2.764e+00   3.406e+00   3.554e+00   1.441e+00  15  sdss  5670  82N  3 
  144  53644.205500  0  24.268  1.141  3.899  1.236   3.942e-01   1.354e+00   4.020e+00   1.275e+00  7  sdss  5670  82N  3 
  145  53654.241332  1  23.163  0.418  1.622  0.272   1.882e+00   7.335e-01   2.960e+00   4.967e-01  11  sdss  5709  82N  3 
   16  53654.238015  2  23.271  0.519  1.210  0.176   1.672e+00   8.586e-01   2.098e+00   3.055e-01  13  sdss  5709  82N  3 
   16  53654.238845  3  23.575  0.808  1.691  0.222   1.015e+00   1.229e+00   2.552e+00   3.354e-01  14  sdss  5709  82N  3 
    0  53654.240503  4  21.924  0.657  0.637  0.246   4.966e+00   4.333e+00   4.261e+00   1.645e+00  15  sdss  5709  82N  3 
  144  53654.239674  0  25.118  1.280  4.282  1.240  -4.514e-01   1.590e+00   4.497e+00   1.302e+00  7  sdss  5709  82N  3 
   49  53656.188933  1  22.994  1.218  3.496  0.580   2.215e+00   1.988e+00   7.398e+00   1.228e+00  11  sdss  5719  82N  3 
   17  53656.185616  2  22.147  0.446  1.640  0.240   4.967e+00   1.967e+00   7.612e+00   1.113e+00  13  sdss  5719  82N  3 
  177  53656.186445  3  22.981  1.263  5.801  0.754   2.113e+00   2.543e+00   1.322e+01   1.716e+00  14  sdss  5719  82N  3 
    0  53656.188103  4  23.786  1.005  1.563  0.829  -5.273e+00   6.816e+00   1.076e+01   5.708e+00  15  sdss  5719  82N  3 
  145  53656.187274  0  21.239  0.713  2.447  0.652   1.232e+01   6.965e+00   2.719e+01   7.246e+00  7  sdss  5719  82N  3 
  145  53663.201621  1  22.120  0.194  0.344  0.055   5.037e+00   8.941e-01   1.603e+00   2.570e-01  11  sdss  5744  82N  3 
   17  53663.198304  2  21.833  0.142  0.231  0.037   6.655e+00   8.702e-01   1.428e+00   2.282e-01  13  sdss  5744  82N  3 
  144  53663.199133  3  21.867  0.196  0.290  0.041   6.333e+00   1.155e+00   1.727e+00   2.425e-01  14  sdss  5744  82N  3 
    0  53663.200792  4  22.198  0.573  0.468  0.204   3.274e+00   3.325e+00   2.685e+00   1.169e+00  15  sdss  5744  82N  3 
  145  53663.199962  0  24.752  1.580  3.979  1.129  -8.381e-02   2.132e+00   3.866e+00   1.097e+00  7  sdss  5744  82N  3 
   16  53668.190712  1  22.112  0.143  1.056  0.214   5.074e+00   6.668e-01   4.958e+00   1.007e+00  11  sdss  5770  82N  3 
   16  53668.187396  2  21.615  0.127  0.519  0.091   8.146e+00   9.552e-01   3.914e+00   6.848e-01  13  sdss  5770  82N  3 
   16  53668.188225  3  21.601  0.191  0.652  0.095   8.123e+00   1.432e+00   4.936e+00   7.198e-01  14  sdss  5770  82N  3 
    0  53668.189883  4  22.853  1.013  1.994  0.821  -9.788e-02   5.693e+00   9.725e+00   4.004e+00  15  sdss  5770  82N  3 
  144  53668.189054  0  22.456  0.530  2.609  0.875   3.956e+00   1.828e+00   9.610e+00   3.223e+00  7  sdss  5770  82N  3 
   16  53670.195610  1  22.368  0.143  0.656  0.127   3.998e+00   5.304e-01   2.440e+00   4.708e-01  11  sdss  5781  82N  3 
   16  53670.192293  2  21.804  0.135  0.477  0.081   6.836e+00   8.548e-01   3.023e+00   5.154e-01  13  sdss  5781  82N  3 
   16  53670.193122  3  21.791  0.198  0.684  0.101   6.801e+00   1.252e+00   4.357e+00   6.421e-01  14  sdss  5781  82N  3 
    0  53670.194780  4  22.233  0.705  0.879  0.359   3.075e+00   4.086e+00   4.959e+00   2.023e+00  15  sdss  5781  82N  3 
  144  53670.193951  0  23.437  1.016  3.810  1.263   1.460e+00   1.542e+00   6.214e+00   2.060e+00  7  sdss  5781  82N  3 
   16  53673.163476  1  22.614  0.188  1.081  0.203   3.177e+00   5.546e-01   3.216e+00   6.038e-01  11  sdss  5792  82N  3 
   16  53673.160159  2  21.886  0.143  0.537  0.087   6.335e+00   8.388e-01   3.165e+00   5.113e-01  13  sdss  5792  82N  3 
   16  53673.160988  3  21.449  0.150  0.518  0.078   9.358e+00   1.294e+00   4.503e+00   6.829e-01  14  sdss  5792  82N  3 
    0  53673.162647  4  22.257  0.727  1.308  0.494   2.940e+00   4.185e+00   7.299e+00   2.756e+00  15  sdss  5792  82N  3 
   16  53673.161817  0  23.446  1.095  5.194  1.586   1.447e+00   1.652e+00   8.427e+00   2.573e+00  7  sdss  5792  82N  3 
   16  53675.160078  1  22.668  0.192  1.088  0.199   3.019e+00   5.378e-01   3.080e+00   5.644e-01  11  sdss  5800  82N  3 
   16  53675.156762  2  21.619  0.115  0.426  0.064   8.116e+00   8.597e-01   3.201e+00   4.778e-01  13  sdss  5800  82N  3 
   16  53675.157591  3  21.561  0.161  0.439  0.068   8.432e+00   1.253e+00   3.451e+00   5.372e-01  14  sdss  5800  82N  3 
    0  53675.159249  4  21.799  0.586  0.863  0.333   5.836e+00   4.158e+00   6.265e+00   2.417e+00  15  sdss  5800  82N  3 
  144  53675.158420  0  24.733  1.235  7.041  2.202  -6.489e-02   1.473e+00   6.834e+00   2.138e+00  7  sdss  5800  82N  3 
   16  53677.181077  1  22.481  0.146  0.592  0.107   3.598e+00   4.874e-01   1.985e+00   3.584e-01  11  sdss  5813  82N  3 
   16  53677.177760  2  21.692  0.103  0.247  0.040   7.586e+00   7.241e-01   1.739e+00   2.797e-01  13  sdss  5813  82N  3 
   16  53677.178589  3  21.692  0.154  0.310  0.044   7.462e+00   1.066e+00   2.166e+00   3.068e-01  14  sdss  5813  82N  3 
    0  53677.180248  4  22.092  0.528  0.537  0.255   3.898e+00   3.204e+00   3.252e+00   1.547e+00  15  sdss  5813  82N  3 
  144  53677.179419  0  24.866  1.098  3.843  1.232  -1.950e-01   1.264e+00   3.783e+00   1.213e+00  7  sdss  5813  82N  3 
   16  53680.167311  1  22.706  0.189  0.910  0.157   2.913e+00   5.121e-01   2.493e+00   4.303e-01  11  sdss  5823  82N  3 
   16  53680.163994  2  21.765  0.119  0.378  0.058   7.089e+00   7.768e-01   2.489e+00   3.792e-01  13  sdss  5823  82N  3 
   16  53680.164823  3  21.919  0.199  0.512  0.076   6.031e+00   1.116e+00   2.907e+00   4.331e-01  14  sdss  5823  82N  3 
    0  53680.166482  4  21.803  0.483  0.633  0.262   5.807e+00   3.435e+00   4.587e+00   1.895e+00  15  sdss  5823  82N  3 
   16  53680.165652  0  26.125  0.787  2.843  0.828  -1.880e+00   1.408e+00   5.538e+00   1.613e+00  7  sdss  5823  82N  3 
    3  53686.233252  1  26.816  2.142  5.286  0.764  -1.460e+00   2.653e+00   7.739e+00   1.119e+00  11  sdss  5865  82N  3 
   17  53686.229935  2  22.544  0.910  2.697  0.353   3.418e+00   2.478e+00   8.750e+00   1.146e+00  13  sdss  5865  82N  3 
   49  53686.230765  3  22.768  1.138  3.883  0.504   2.642e+00   2.615e+00   1.051e+01   1.364e+00  14  sdss  5865  82N  3 
    0  53686.232423  4  23.022  1.285  3.145  1.190  -9.262e-01   7.875e+00   1.557e+01   5.890e+00  15  sdss  5865  82N  3 
  131  53686.231594  0  21.573  1.380  3.391  0.605   9.052e+00   7.740e+00   2.779e+01   4.956e+00  7  sdss  5865  82N  3 
   17  53693.167912  1  23.507  0.879  2.183  0.310   1.336e+00   1.062e+00   2.969e+00   4.215e-01  11  sdss  5878  82N  3 
   17  53693.164595  2  22.189  0.242  0.703  0.088   4.776e+00   1.065e+00   3.143e+00   3.911e-01  13  sdss  5878  82N  3 
   16  53693.165424  3  21.796  0.207  0.528  0.067   6.770e+00   1.301e+00   3.352e+00   4.267e-01  14  sdss  5878  82N  3 
    0  53693.167083  4  22.219  0.663  0.906  0.341   3.154e+00   3.841e+00   5.145e+00   1.939e+00  15  sdss  5878  82N  3 
   17  53693.166254  0  22.799  1.246  2.667  0.602   2.841e+00   2.710e+00   7.281e+00   1.643e+00  7  sdss  5878  82N  3 
   28  53698.164819  1  21.308  0.194  9.747  0.059   1.068e+01   1.885e+00   9.565e+01   5.765e-01  11  sdss  5898  82N  3 
 1053  53698.161502  2  21.028  0.907 20.242  0.039   1.401e+01   9.606e+00   2.616e+02   5.058e-01  13  sdss  5898  82N  3 
 1052  53698.162331  3  20.445  0.403 10.136  0.030   2.369e+01   8.433e+00   2.215e+02   6.639e-01  14  sdss  5898  82N  3 
 1052  53698.163989  4  23.584  2.028 20.647  0.460  -3.965e+00   1.715e+01   1.258e+02   2.804e+00  15  sdss  5898  82N  3 
 1172  53698.163160  0  24.642  2.961 89.388  2.693   2.252e-02   8.010e+00   8.663e+01   2.610e+00  7  sdss  5898  82N  3 
 1180  53699.188217  1  21.572  0.588 20.925  0.068   8.365e+00   4.133e+00   1.611e+02   5.263e-01  11  sdss  5902  82N  3 
 1052  53699.184900  2  21.802  0.780 16.040  0.075   6.849e+00   4.271e+00   1.020e+02   4.760e-01  13  sdss  5902  82N  3 
 1180  53699.185729  3  21.567  1.137 13.486  0.064   8.385e+00   6.742e+00   1.054e+02   4.965e-01  14  sdss  5902  82N  3 
 1172  53699.187388  4  24.369  2.213  6.125  0.232  -1.025e+01   2.230e+01   6.512e+01   2.466e+00  15  sdss  5902  82N  3 
 1172  53699.186558  0  22.569  2.965 22.269  0.591   3.550e+00   8.744e+00   7.424e+01   1.971e+00  7  sdss  5902  82N  3 
   18  53702.162779  1  25.487  1.348 25.979  3.794  -2.213e-01   1.031e+00   1.618e+01   2.363e+00  11  sdss  5909  82N  3 
   50  53702.160291  3  22.893  1.229 10.837  1.290   2.321e+00   2.597e+00   2.649e+01   3.152e+00  14  sdss  5909  82N  3 
    0  53702.161949  4  20.656  0.906  2.211  0.699   1.931e+01   1.409e+01   4.079e+01   1.290e+01  15  sdss  5909  82N  3 
   48  53704.150103  1  24.104  0.725  5.289  0.821   6.878e-01   6.087e-01   4.567e+00   7.090e-01  11  sdss  5918  82N  3 
   16  53704.146787  2  23.167  0.454  2.007  0.251   1.860e+00   8.237e-01   3.795e+00   4.746e-01  13  sdss  5918  82N  3 
   16  53704.147616  3  22.177  0.277  0.838  0.118   4.723e+00   1.224e+00   3.778e+00   5.315e-01  14  sdss  5918  82N  3 
    0  53704.149274  4  22.028  0.642  0.734  0.321   4.292e+00   4.023e+00   4.608e+00   2.018e+00  15  sdss  5918  82N  3 
   16  53704.148445  0  25.111  1.292  6.521  1.923  -4.439e-01   1.610e+00   6.830e+00   2.015e+00  7  sdss  5918  82N  3 
