# SDSS CID:  17242 IAU:          RA:  10.539227 DEC:  -0.751071  (J2000)
# GALAXY_SB [ugriz] = [ 21.48 20.53 19.86 19.52 19.25 ] +/- [  0.06  0.01  0.00  0.00  0.01 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  9.583E+00  2.181E+01  4.094E+01  5.559E+01  7.150E+01 ] +/- [  5.473E-01  1.489E-01  1.617E-01  1.977E-01  6.369E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
   33  54402.350227  2  21.435  0.215  0.076  0.110   9.621e+00   1.910e+00   6.842e-01   9.913e-01  11  sdss  7101  82S  2 
   33  54402.351056  3  22.540  0.680  0.277  0.361   3.324e+00   2.043e+00   9.110e-01   1.190e+00  9  sdss  7101  82S  2 
   32  54402.352714  4  21.883  0.856  0.384  0.531   5.247e+00   5.742e+00   2.617e+00   3.623e+00  11  sdss  7101  82S  2 
   37  54402.351885  0  21.991  1.562  0.098  0.952   6.130e+00   5.842e+00   5.598e-01   5.431e+00  9  sdss  7101  82S  2 
   32  54408.267704  1  23.055  0.411  0.111  0.314   2.090e+00   8.023e-01   2.258e-01   6.392e-01  11  sdss  7127  82S  2 
   32  54408.264387  2  21.696  0.170  0.006  0.079   7.556e+00   1.189e+00   4.146e-02   5.567e-01  11  sdss  7127  82S  2 
   32  54408.265216  3  22.113  0.331  0.041  0.135   5.022e+00   1.544e+00   1.950e-01   6.451e-01  9  sdss  7127  82S  2 
   32  54408.266874  4  22.667  0.870  0.363  0.440   8.130e-01   4.745e+00   1.789e+00   2.169e+00  11  sdss  7127  82S  2 
   32  54408.266045  0  23.257  1.126  0.150  1.576   1.782e+00   1.893e+00   2.842e-01   2.993e+00  9  sdss  7127  82S  2 
   32  54411.225562  1  22.646  0.271  0.011  0.183   3.081e+00   7.780e-01   3.136e-02   5.358e-01  11  sdss  7136  82S  2 
   32  54411.222245  2  21.920  0.192  0.027  0.078   6.137e+00   1.094e+00   1.532e-01   4.465e-01  11  sdss  7136  82S  2 
   32  54411.223074  3  22.281  0.359  0.079  0.129   4.276e+00   1.435e+00   3.261e-01   5.302e-01  9  sdss  7136  82S  2 
   32  54411.224733  4  21.977  0.692  0.160  0.340   4.622e+00   4.428e+00   1.027e+00   2.192e+00  11  sdss  7136  82S  2 
   36  54411.223904  0  23.728  1.325  0.074  2.059   1.026e+00   1.841e+00   1.002e-01   2.781e+00  9  sdss  7136  82S  2 
