# SDSS CID:   3680 IAU:          RA: 351.037415 DEC:  -0.809664  (J2000)
# GALAXY_SB [ugriz] = [ 24.40 23.94 22.54 21.80 21.35 ] +/- [  0.54  0.11  0.04  0.02  0.06 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  2.314E-01  8.374E-01  3.429E+00  6.713E+00  9.610E+00 ] +/- [  5.358E-01  1.086E-01  1.183E-01  1.453E-01  6.275E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
   32  53669.211307  3  23.424  0.759  0.259  0.388   1.254e+00   1.236e+00   4.300e-01   6.434e-01  14  sdss  5776  82S  2 
    0  53669.212965  4  21.591  0.500  0.214  0.301   7.466e+00   4.050e+00   1.783e+00   2.509e+00  12  sdss  5776  82S  2 
    8  53669.212136  0  22.358  0.423  0.325  0.991   4.341e+00   1.628e+00   1.310e+00   3.990e+00  9  sdss  5776  82S  2 
    0  53671.298347  1  22.622  0.227  0.175  0.282   3.153e+00   6.651e-01   5.196e-01   8.358e-01  14  sdss  5786  82S  2 
    0  53671.295030  2  22.616  0.312  0.146  0.202   3.190e+00   9.317e-01   4.460e-01   6.187e-01  14  sdss  5786  82S  2 
   32  53671.295859  3  23.107  0.633  0.223  0.306   1.841e+00   1.253e+00   4.628e-01   6.341e-01  14  sdss  5786  82S  2 
    0  53671.297518  4  20.951  0.327  0.129  0.227   1.452e+01   4.483e+00   1.808e+00   3.180e+00  12  sdss  5786  82S  2 
   32  53671.296688  0  24.596  1.612  0.128  4.111   6.717e-02   2.203e+00   1.238e-01   3.990e+00  9  sdss  5786  82S  2 
    0  53674.197478  1  23.217  0.320  0.082  0.392   1.785e+00   5.470e-01   1.436e-01   6.864e-01  14  sdss  5797  82S  2 
   32  53674.194162  2  23.669  0.687  0.184  0.451   1.079e+00   8.432e-01   2.353e-01   5.759e-01  14  sdss  5797  82S  2 
   32  53674.194991  3  23.211  0.639  0.234  0.337   1.634e+00   1.182e+00   4.507e-01   6.483e-01  14  sdss  5797  82S  2 
   32  53674.196649  4  21.732  0.529  0.263  0.423   6.338e+00   3.895e+00   1.984e+00   3.189e+00  12  sdss  5797  82S  2 
   32  53674.195820  0  24.172  1.341  0.162  3.520   4.946e-01   1.705e+00   1.726e-01   3.753e+00  9  sdss  5797  82S  2 
    0  53676.286747  1  22.943  0.302  0.181  0.416   2.327e+00   6.581e-01   4.031e-01   9.249e-01  14  sdss  5807  82S  2 
   32  53676.283431  2  23.901  0.858  0.426  0.602   8.057e-01   9.268e-01   4.648e-01   6.571e-01  14  sdss  5807  82S  2 
   32  53676.284260  3  23.572  0.785  0.270  0.405   1.021e+00   1.195e+00   4.086e-01   6.136e-01  14  sdss  5807  82S  2 
   32  53676.285918  4  22.700  0.757  0.547  0.607   6.502e-01   4.017e+00   2.687e+00   2.984e+00  12  sdss  5807  82S  2 
  128  53676.285089  0  22.119  0.488  0.080  1.110   5.440e+00   2.291e+00   3.975e-01   5.538e+00  9  sdss  5807  82S  2 
    0  53679.258769  1  23.100  0.335  0.089  0.467   2.000e+00   6.316e-01   1.723e-01   9.054e-01  14  sdss  5820  82S  2 
   32  53679.255452  2  23.342  0.682  0.326  0.561   1.552e+00   1.045e+00   5.353e-01   9.208e-01  14  sdss  5820  82S  2 
   32  53679.256281  3  23.344  0.803  0.456  0.545   1.390e+00   1.362e+00   7.971e-01   9.521e-01  14  sdss  5820  82S  2 
   32  53679.257940  4  22.721  0.860  0.367  0.836   5.455e-01   4.662e+00   1.801e+00   4.098e+00  12  sdss  5820  82S  2 
  128  53679.257110  0  21.843  0.353  0.069  0.916   7.042e+00   2.191e+00   4.399e-01   5.869e+00  9  sdss  5820  82S  2 
    0  53681.250079  1  23.481  0.392  0.071  0.340   1.373e+00   5.310e-01   9.969e-02   4.746e-01  14  sdss  5836  82S  2 
   32  53681.246763  2  23.415  0.561  0.271  0.262   1.436e+00   8.298e-01   4.200e-01   4.066e-01  14  sdss  5836  82S  2 
   32  53681.247592  3  23.095  0.553  0.206  0.201   1.865e+00   1.115e+00   4.311e-01   4.207e-01  14  sdss  5836  82S  2 
    0  53681.249250  4  23.712  0.522  0.207  0.295  -4.773e+00   3.375e+00   1.347e+00   1.927e+00  12  sdss  5836  82S  2 
