#Year month date band mag mag_err
#1993ApJ...416..167R, ESO Schmidt
1973 10 01 B >22.0 0.3
1973 11 24 B >22.0 0.3
#1993ApJ...416..167R, UK Schmidt
1974 09 16 Bj 22.1 0.3
1974 09 18 Bj 22.1 0.3
1974 10 12 Bj 22.1 0.3
1975 01 11 Bj 22.1 0.3
1975 10 03 Bj 22.1 0.3
1975 10 28 Bj 22.1 0.3
1975 11 29 Bj 22.1 0.3
1976 12 14 R 20.0 0.3
1977 10 12 Bj >23.0 0.3
#1993ApJ...416..167R, ESO 3.6m
1978 07 31 B 16.0 0.3
#1993ApJ...416..167R, OCIW 2.5m
1978 09 26 B 17.9 0.3
1978 10 04 V 17.7 0.3
#1993ApJ...416..167R, UK Schmidt
1978 11 24 Bj 19.0 0.3
1981 10 07 Bj 22.1 0.3
1982 11 14 Bj >22.1 0.3
#1993ApJ...416..167R, ESO Schmidt
1984 09 27 R 20.0 0.3
1986 10 23 R 18.4 0.3
#1993ApJ...416..167R, UK Schmidt
1986 11 22 Bj 21.7 0.3
1987 10 26 R 18.4 0.3
1987 10 27 Bj 21.6 0.3
1988 01 11 R 18.4 0.3
1988 12 14 B >20.7 0.3
1989 11 22 R 18.1 0.3
#1993ApJ...416..167R, MSSSO 1.0m
1989 12 29 V 20.0 0.3
#1993ApJ...416..167R, UK Schmidt
1990 10 24 R 18.0 0.3
#1993ApJ...416..167R, MSSSO 2.3m
1992 01 05 V 20.3 0.3
1992 01 05 R 18.7 0.3
1992 01 05 B 20.9 0.3
#1999AJ....118.2689S, AAT 3.9m
1990 11 17 V 20.23 0.28
1990 11 17 I 20.52 0.39
#1999AJ....118.2689S, MSSSO 1.0m
1992 05 01 I 19.90 0.24
1992 11 03 V 19.97 0.13
1994 01 09 B 20.89 0.28
1994 01 09 V 19.94 0.19
1994 01 09 R 18.73 0.2
1994 01 09 I 19.60 0.22
#1999AJ....118.2689S, CTIO 1.5m
1995 02 24 B 20.80 0.26
1995 02 24 I 20.14 0.50
#1999AJ....118.2689S, HST, WFPC2
1996 01 03 B 20.67 0.11
1996 01 03 V 19.81 0.05
#1999AJ....118.2689S, MSSSO 1.0m
1996 06 12 B 20.66 0.26
1996 06 12 I 19.80 0.55
#1999AJ....118.2689S, AAT 3.9m
1996 09 15 R 18.49 0.29
#2016MNRAS.458.2063K, VLT, FORS2
2007 07 25 B 20.615 0.07
2007 07 25 V 20.392 0.07
2007 07 25 R s19.2 0.1
2007 07 25 I 20.140 0.05
#2016MNRAS.458.2063K, VLT, VIMOS
2014 11 25 V s20.7 0.2
2014 11 25 R s19.3 0.2
2014 11 25 I s19.8 0.2
