Filter, MJD, Mag, Mag Error
R, 53503.3008, 18.7286, 0.061709
R, 53508.3185, 19.0186, 0.075552
R, 53514.4846, 19.3886, 0.24777
R, 53518.3209, 19.7586, 0.091448
R, 53519.4818, 19.7186, 0.11164
R, 53521.2873, 19.8886, 0.7038
R, 53525.483, 19.7786, 0.15811
R, 53529.4844, 19.7686, 0.38384
R, 53531.3162, 20.3186, 0.27747
R, 53542.3314, 20.1686, 0.28145
R, 53549.3876, 20.5186, 0.26847
R, 53557.3475, 21.1986, 0.48102
