Filter, MJD, Mag, Mag Error
R, 53501.3348, 18.035, 0.11283
R, 53504.2581, 17.945, 0.067878
R, 53506.2308, 17.925, 0.054691
R, 53508.2934, 17.965, 0.11792
R, 53518.2046, 18.515, 0.13409
R, 53521.3129, 18.775, 0.15746
R, 53525.3296, 18.975, 0.31078
R, 53527.2915, 19.095, 0.17118
R, 53532.2762, 19.235, 0.22645
R, 53535.24, 19.325, 0.32232
R, 53542.2464, 19.545, 0.38624
R, 53544.2459, 19.545, 0.36171
R, 53545.2929, 19.645, 0.43333
R, 53548.2628, 19.825, 0.12953
R, 53557.2869, 19.825, 0.70558
R, 53560.234, 19.895, 0.20618
R, 53563.1826, 20.065, 0.20426
R, 53570.174, 20.245, 0.61634
