Filter, MJD, Mag, Mag Error
B, 53276.1658, 17.87, 0.08176
B, 53279.1326, 17.93, 0.07381
B, 53281.1256, 17.9, 0.073866
B, 53284.1414, 18.14, 0.074772
B, 53289.1668, 18.27, 0.11215
B, 53292.111, 18.17, 0.076525
B, 53302.1662, 18.56, 0.086467
B, 53309.1081, 18.63, 0.079302
B, 53310.1802, 18.55, 0.11301
B, 53329.1324, 18.21, 0.078863
B, 53352.111, 17.83, 0.07264
I, 53276.1682, 17.3817, 0.073409
I, 53279.1352, 17.4317, 0.081423
I, 53281.1281, 17.0817, 0.063737
I, 53284.1437, 17.2517, 0.059015
I, 53289.1695, 16.8717, 0.070632
I, 53292.1133, 17.0417, 0.054146
I, 53302.1686, 17.1717, 0.068906
I, 53309.1104, 17.1717, 0.081598
I, 53310.1824, 17.0517, 0.15455
I, 53324.1058, 16.5917, 0.081248
I, 53329.1347, 16.6817, 0.045861
I, 53334.1366, 16.5417, 0.087535
I, 53352.1133, 16.4017, 0.068371
I, 53401.5495, 16.3117, 0.10637
I, 53406.5372, 16.6617, 0.064596
I, 53538.3667, 20.3617, 0.98285
R, 53276.1616, 17.5033, 0.079075
R, 53279.128, 17.4833, 0.1257
R, 53281.1211, 17.3533, 0.032003
R, 53284.1371, 17.4533, 0.10449
R, 53287.1036, 17.3033, 0.052681
R, 53292.1242, 17.4033, 0.026103
R, 53302.1708, 17.4533, 0.039276
R, 53309.1124, 17.3833, 0.030768
R, 53310.1845, 17.4033, 0.071882
R, 53329.1367, 17.0133, 0.041401
R, 53334.1386, 16.7133, 0.1506
R, 53351.1397, 16.5933, 0.035395
R, 53352.1066, 16.5833, 0.020095
R, 53401.5418, 16.7533, 0.17906
R, 53406.5295, 16.9433, 0.054396
R, 53537.3168, 19.4533, 0.71685
R, 53538.3129, 19.5433, 0.68884
V, 53276.1637, 17.6467, 0.055171
V, 53279.1303, 17.6467, 0.059616
V, 53281.1234, 17.5767, 0.058055
V, 53284.1392, 17.6167, 0.054125
V, 53289.1644, 17.6067, 0.057062
V, 53292.109, 17.5467, 0.073948
V, 53302.1641, 17.7067, 0.066447
V, 53309.106, 17.6767, 0.056559
V, 53310.1781, 17.6667, 0.10561
V, 53322.1058, 17.3867, 0.054351
V, 53329.0918, 17.1167, 0.05405
V, 53352.1088, 16.8967, 0.053442
V, 53401.5444, 17.1267, 0.15399
V, 53405.5588, 17.2967, 0.068653
V, 53538.3382, 20.296, 0.15323
