Filter, MJD, Mag, Mag Error
R, 53280.4161, 12.3, 0.014142
R, 53282.152, 12.23, 0.014142
R, 53283.24, 12.22, 0.01479
R, 53288.3145, 12.19, 0.014142
R, 53291.1972, 12.18, 0.014142
R, 53293.1781, 12.17, 0.014142
R, 53303.1828, 12.11, 0.014142
R, 53303.3261, 12.13, 0.014142
R, 53309.1201, 12.27, 0.014142
R, 53325.1659, 12.38, 0.014142
R, 53329.147, 12.36, 0.014142
R, 53353.0995, 12.4, 0.014142
R, 53401.5716, 14.42, 0.036997
R, 53406.5528, 14.51, 0.01479
R, 53538.3916, 15.88, 0.027386
R, 53538.4051, 15.91, 0.027386
R, 53539.2811, 15.84, 0.20261
R, 53539.2858, 15.86, 0.15801
R, 53539.2882, 15.86, 0.13946
R, 53539.3364, 15.88, 0.069417
R, 53611.0291, 16.78, 0.077902
R, 53611.0313, 16.8, 0.027386
R, 53611.0335, 16.8, 0.043012
