Filter, MJD, Mag, Mag Error
B, 53613.1575, 15.89, 0.053953
B, 53614.1879, 15.8, 0.054644
B, 53615.2045, 15.74, 0.053953
B, 53616.2179, 15.72, 0.053953
B, 53618.1374, 15.71, 0.058949
B, 53619.1514, 15.65, 0.0543
B, 53621.1733, 15.63, 0.054025
B, 53632.1179, 15.54, 0.054256
B, 53642.1219, 15.62, 0.0543
B, 53649.1379, 15.79, 0.054986
B, 53653.0983, 15.78, 0.053837
I, 53613.1608, 15.474, 0.022157
I, 53614.1924, 15.354, 0.027477
I, 53615.2086, 15.324, 0.024469
I, 53616.2225, 15.214, 0.030264
I, 53618.1415, 15.164, 0.028345
I, 53619.1547, 15.104, 0.024469
I, 53621.1767, 15.064, 0.023258
I, 53622.1931, 15.054, 0.026552
I, 53632.1212, 14.864, 0.026077
I, 53642.1264, 14.924, 0.022437
I, 53649.1413, 14.904, 0.029665
I, 53653.1017, 14.954, 0.023558
R, 53613.1559, 15.582, 0.022493
R, 53614.1856, 15.482, 0.024393
R, 53615.2025, 15.462, 0.022213
R, 53616.2156, 15.392, 0.022493
R, 53618.1354, 15.292, 0.026363
R, 53619.1498, 15.262, 0.02193
R, 53621.1716, 15.202, 0.022213
R, 53622.1864, 15.192, 0.024774
R, 53629.1977, 15.022, 0.022804
R, 53632.1163, 15.032, 0.023042
R, 53642.1196, 15.092, 0.02193
R, 53649.1362, 15.122, 0.022804
R, 53653.0967, 15.152, 0.022213
V, 53613.1592, 15.69, 0.064988
V, 53614.1902, 15.6, 0.065372
V, 53615.2066, 15.57, 0.06518
V, 53616.2202, 15.53, 0.064614
V, 53618.1394, 15.49, 0.067164
V, 53619.153, 15.42, 0.064988
V, 53621.175, 15.39, 0.064807
V, 53622.1908, 15.33, 0.069282
V, 53632.1195, 15.26, 0.064892
V, 53642.1241, 15.3, 0.065192
V, 53649.1395, 15.37, 0.065336
V, 53653.1, 15.4, 0.064795
