Filter, MJD, Mag, Mag Error
R, 53467.3672, 16.865, 0.029078
R, 53474.3361, 16.955, 0.0358
R, 53477.5126, 17.025, 0.033225
R, 53478.5153, 17.015, 0.062902
R, 53481.2618, 17.065, 0.03401
R, 53503.2909, 17.285, 0.030795
R, 53519.2818, 17.675, 0.040463
R, 53527.3218, 18.105, 0.071965
R, 53532.2991, 18.725, 0.041913
R, 53536.2051, 18.835, 0.070561
R, 53542.2914, 18.775, 0.067421
R, 53546.3021, 18.985, 0.09013
R, 53550.2435, 19.285, 0.074636
R, 53558.3124, 19.265, 0.21503
R, 53561.2745, 19.215, 0.086239
R, 53562.2457, 19.155, 0.12198
R, 53571.1836, 19.265, 0.090805
