Filter, MJD, Mag, Mag Error
B, 53535.1773, 19.34, 0.29936
B, 53536.2168, 19.48, 0.28001
B, 53544.257, 19.54, 0.4822
B, 53546.2794, 19.61, 0.18174
B, 53548.2218, 19.38, 0.2766
B, 53550.1768, 19, 0.23273
B, 53554.4111, 18.87, 0.24426
B, 53557.2979, 19, 0.22719
B, 53559.2165, 19.01, 0.19226
B, 53560.2575, 19.07, 0.18066
B, 53562.174, 19.16, 0.22203
B, 53563.2982, 19, 0.18969
B, 53570.1857, 18.99, 0.24524
B, 53581.2817, 18.99, 0.21199
B, 53587.2334, 18.97, 0.25106
B, 53590.2903, 18.77, 0.19183
B, 53600.2092, 18.84, 0.12925
B, 53602.1718, 18.99, 0.49316
B, 53611.9263, 18.76, 0.13858
B, 53613.2307, 18.93, 0.2147
B, 53615.1619, 18.72, 0.15233
B, 53616.2005, 18.84, 0.25163
B, 53619.1604, 18.9, 0.19731
B, 53628.197, 18.92, 0.47643
B, 53632.1304, 19.26, 0.35607
B, 53643.1052, 19.24, 0.65501
B, 53653.1073, 19.74, 0.43038
I, 53535.182, 18.4167, 0.32867
I, 53536.2204, 18.1167, 0.38274
I, 53539.2278, 17.8767, 0.41713
I, 53544.2605, 17.5267, 0.21414
I, 53546.2838, 17.3767, 0.25861
I, 53548.2252, 17.4167, 0.25801
I, 53550.1813, 17.0867, 0.19101
I, 53557.3014, 16.9867, 0.15246
I, 53559.2199, 16.9667, 0.11496
I, 53560.2617, 16.8467, 0.13845
I, 53562.1772, 16.8467, 0.13311
I, 53563.3025, 16.7467, 0.10966
I, 53570.1892, 16.5967, 0.11637
I, 53573.297, 16.4767, 0.11299
I, 53581.2856, 16.3867, 0.10662
I, 53587.2416, 16.4067, 0.11301
I, 53590.2948, 16.2867, 0.093064
I, 53595.1633, 16.1367, 0.14908
I, 53600.2136, 16.1767, 0.096805
I, 53602.1751, 16.1367, 0.098103
I, 53611.9308, 16.1767, 0.10297
I, 53613.2342, 16.0767, 0.099508
I, 53615.1658, 16.1267, 0.11583
I, 53616.2052, 16.0967, 0.10192
I, 53619.1639, 16.1467, 0.10266
I, 53620.1757, 16.1167, 0.17402
I, 53621.1862, 16.1567, 0.10706
I, 53628.2006, 16.0367, 0.12545
I, 53643.1085, 16.7867, 0.15713
I, 53653.1106, 17.1367, 0.20175
R, 53535.175, 18.7417, 0.10745
R, 53536.215, 18.6617, 0.15176
R, 53544.2554, 18.1517, 0.07073
R, 53546.2773, 17.9917, 0.079249
R, 53548.2202, 17.9817, 0.049226
R, 53550.1744, 17.8217, 0.026394
R, 53552.3162, 17.6317, 0.049885
R, 53554.4094, 17.4517, 0.036739
R, 53560.2554, 17.4217, 0.047453
R, 53562.1723, 17.4717, 0.028334
R, 53570.1839, 17.2617, 0.033116
R, 53573.2914, 17.2217, 0.051495
R, 53581.2798, 17.1617, 0.043032
R, 53587.2312, 17.0117, 0.036179
R, 53600.207, 16.9217, 0.03538
R, 53602.1701, 16.8017, 0.033484
R, 53611.9241, 16.7917, 0.028405
R, 53614.2448, 16.7817, 0.023184
R, 53616.194, 16.8017, 0.033116
R, 53623.2257, 16.8217, 0.046977
R, 53632.1288, 17.1017, 0.033484
R, 53643.1036, 17.5317, 0.084193
R, 53649.1455, 17.8417, 0.073531
R, 53653.1057, 17.9317, 0.07816
V, 53539.2256, 19.0517, 0.1376
V, 53544.2587, 18.7017, 0.18826
V, 53546.2815, 18.4317, 0.18592
V, 53548.2235, 18.3217, 0.17731
V, 53552.3421, 18.1717, 0.15554
V, 53554.4128, 18.1117, 0.13274
V, 53559.2182, 17.9717, 0.11462
V, 53560.2596, 17.8217, 0.10713
V, 53562.1756, 17.9817, 0.12659
V, 53563.3003, 17.9717, 0.072051
V, 53570.1874, 17.6817, 0.11337
V, 53573.2951, 17.7617, 0.13351
V, 53581.2836, 17.6117, 0.10329
V, 53587.2356, 17.6317, 0.098951
V, 53590.2925, 17.5717, 0.093501
V, 53595.1611, 17.5217, 0.090776
V, 53600.2114, 17.4517, 0.075292
V, 53602.1734, 17.4217, 0.073287
V, 53611.9285, 17.4217, 0.074035
V, 53613.2324, 17.4417, 0.10295
V, 53615.1638, 17.4217, 0.093348
V, 53616.2028, 17.4717, 0.097831
V, 53619.1621, 17.4617, 0.082062
V, 53620.174, 17.5517, 0.056275
V, 53621.1844, 17.4917, 0.091604
V, 53632.132, 17.8417, 0.20308
V, 53643.1068, 18.3317, 0.20346
V, 53649.1489, 18.6117, 0.29721
V, 53653.109, 19.0717, 0.34887
