Filter, MJD, Mag, Mag Error
B, 53267.1946, 17.105, 0.015832
B, 53272.1693, 17.305, 0.015578
B, 53276.1781, 17.505, 0.037837
B, 53280.2382, 17.495, 0.016361
B, 53283.3964, 17.525, 0.01599
B, 53288.2171, 17.485, 0.018646
B, 53292.1728, 17.515, 0.019689
B, 53302.1836, 17.555, 0.024712
B, 53303.4616, 17.525, 0.018511
B, 53308.3748, 17.595, 0.069647
B, 53316.2216, 17.505, 0.018511
B, 53322.1674, 17.595, 0.018212
B, 53325.1705, 17.605, 0.014549
B, 53328.3397, 17.645, 0.014686
B, 53386.1179, 18.995, 0.050859
I, 53267.197, 16.2775, 0.031744
I, 53272.1716, 16.2575, 0.033101
I, 53276.1804, 16.3575, 0.03709
I, 53280.1924, 16.3075, 0.031507
I, 53282.16, 16.3275, 0.032568
I, 53283.2344, 16.3275, 0.032736
I, 53288.1927, 16.2375, 0.034361
I, 53303.4459, 16.1175, 0.037425
I, 53310.2398, 16.0875, 0.044415
I, 53313.2315, 16.0075, 0.033101
I, 53316.2387, 15.9975, 0.032197
I, 53322.1699, 15.9675, 0.032873
I, 53328.3467, 15.9575, 0.031507
I, 53386.1202, 16.3175, 0.045833
I, 53538.4107, 19.0875, 0.54035
R, 53267.1903, 16.6225, 0.007
R, 53272.165, 16.7125, 0.0096954
R, 53276.1738, 16.7225, 0.010296
R, 53280.1858, 16.7425, 0.01044
R, 53280.234, 16.7425, 0.014457
R, 53283.3647, 16.7825, 0.0067082
R, 53288.2096, 16.6625, 0.017578
R, 53292.1371, 16.6425, 0.010296
R, 53303.448, 16.4925, 0.0073485
R, 53310.2419, 16.4825, 0.015
R, 53316.2408, 16.3625, 0.0067082
R, 53322.1722, 16.3925, 0.007
R, 53325.2553, 16.4025, 0.005831
R, 53329.2431, 16.3625, 0.0067823
R, 53335.1588, 16.3125, 0.026173
R, 53386.1136, 16.9925, 0.013601
R, 53538.4507, 19.9725, 0.091181
R, 53539.4129, 20.0225, 0.12202
V, 53267.1925, 16.866, 0.017578
V, 53272.1671, 16.966, 0.019209
V, 53276.1759, 17.036, 0.029816
V, 53280.2361, 17.066, 0.020494
V, 53283.3941, 17.116, 0.018547
V, 53290.4097, 17.116, 0.065643
V, 53302.1814, 17.016, 0.020712
V, 53303.4595, 16.966, 0.026758
V, 53310.2439, 16.896, 0.023152
V, 53313.2358, 16.876, 0.01833
V, 53316.2429, 16.856, 0.021
V, 53322.1745, 16.856, 0.018974
V, 53325.2575, 16.906, 0.017578
V, 53329.2452, 16.856, 0.018868
V, 53335.1612, 16.906, 0.027
V, 53386.1159, 17.776, 0.028792
V, 53538.4239, 21.006, 0.65661
