2	1	1895ApJ.....3..162M	Mrs. Fleming, Pickering, E.C: 1895, Astrophys.J. 3, 162
2	1	1989CiUO.........4H	(= Harvard Coll.Obs.Circ. No.4)
1	2	1897ApJ.....5..233C	Campbell, W.W.:1897, Astrophys.J. 5, 233
1	3	1896PASP....8..220H	Hussey, W.J.: 1896, Publ.Astron.Soc.Pacific 8, 220
1	3	1896AJ.....16...85H	Hussey, W.J.: 1895, Astron. J. 16, 85
1	3	1898AJ.....19...31H	Hussey, W.J.: 1898, Astron. J. 19, 31
1	4	1933AnHar..84..189W	Walker, A.D.: 1923, Harvard Ann. 84, 189
2	5	1916AnHar..76...34C	Cannon, A.J.: 1916, Harvard Ann. 76, 34
1	6	1898AJ.....19...92P	Parkhurst, H.M.: 1898, Astron.J. 19, 92
1	7	1917LicOB...9..108C	Curtis, H.D.: 1917, Lick Obs.Bull. 9, 108
1	8	1938ApJ....88..285B	Baade, W.: 1938, Astrophys.J. 88, 285
0	8	-------------------	(new estimates of Curtis' data)
1	9	1938ApJ....88..285B	Baade, W.: 1938, Astrophys.J. 88, 285
0	9	-------------------	(new estimates of old data)
1	10	1922AN....215..215B	Balanowski, J.: 1922, Astron. Nachr. 215, 215
2	11	1939AnHar.910...47H	Hoffleit, D.: 1939, Harvard Bull. No. 910, 47
1	12	1920AN....210..373W	Wolf, M.: 1920, Astron. Nachr. 210, 373
1	13	1939PNAS...25..569S	Shapley, H.: 1939, Proc.nat.Acad.Sci.USA 25, 569
2	13	1989AstNw......187H	(=Harvard Repr. No. 187)
1	14	1938ApJ....88..411B	Baade, W., Zwicky, F.: 1938, Astrophys.J. 88, 411
2	15	1939ATsir..28...73D	Deutsch, A.N.: 1939, Pulkovo Circ. 28, 73
2	16	1938AN....265...76J	Jacchia, L.:1938, Astron. Nachr. 265, 76
2	17	1938PZP.....5..176P	Parenago, P.P.: 1938, Perm.Zvezdy 5, 176
1	18	1939AN....268..341B	Beyer, M.: 1939, Astron. Nachr. 268, 341
1	19	1938ApJ....88..411B	Baade, W., Zwicky, F.: 1938, Astrophys.J. 88, 411
1	20	1939AN....268..341B	Beyer, M.: 1939, Astron. Nachr. 268, 341
1	21	1938MNRAS..98..216B	Beer, A., Gregory, C.C.L.: 1938, Mon.Not.R.Astr.Soc. 98, 216
1	22	1939BHarO.910....1H	Hoffleit, D.: 1939, Harvard Bull. No. 910, 1
2	23	1939AN....265...75J	Jacchia, L.: 1939, Astron. Nachr. 265, 75
0	24	-------------------	Stobbe, J., Wachmann, H.O., Morgenroth, H.O., Strohmeier, W.:
1	24	1937AN....263..447.	1937, Astron. Nachr. 263, 447
1	25	1949PZ......7..109P	Parenago, P.P.: 1949, Perm.Zvezdy 7, 109
1	26	1967AN....290...85R	Rudnicki, K.: 1966, Astron. Nachr. 290, 85
1	27	1942ApJ....96...28Z	Zwicky, F.: 1942, Astrophys.J. 96, 28
0	28	-------------------	Baade, W.: as cited in Minkowski :1964,
2	28	1989ARA&A...2..244.	Ann.Rev.Astron.Astrophys. 2, 244
1	29	1939AN....268..341B	Beyer, M.: 1939, Astron. Nachr. 268, 341
2	30	1939AnHar.910...47H	Hoffleit, D.: 1939, Harvard Bull. No. 910, 47
1	31	1939PASP...51..166G	Giclas, H.L.: 1939, Publ.Astron.Soc.Pacific 51, 166
2	32	1939AnHar.487.....S	Shapley, H.: 1939, Harvard Coll.Ann.Card No. 487
0	33	-------------------	Baade, W.: as cited in Minkowski :1964,
2	33	1989ARA&A...2..244.	Ann.Rev.Astron.Astrophys. 2, 244
2	34	1939AnHar.487.....H	Hoffleit, D.: 1939, Harvard Coll.Ann.Card No. 487
2	34	1939AnHar.190...31C	Campbell, L.: 1939, Harvard Repr. No. 190, 31
1	35	1950PASP...62..116H	Humason M.: 1950, Publ.Astron.Soc.Pacific 62, 116
1	36	1955MmSAI..26..185P	Pietra, S.: 1955, Mem.Soc.Astr.Ital. 26, 185
1	37	1955ZA.....35..205W	Wellmann, P., Beyer, M.: 1955, Z.Astrophys. 35, 205
1	38	1960PASP...72...97W	Wild, P.: 1960, Publ.Astron.Soc.Pacific 72, 97
2	39	1954IAUC.1464....1H	Hoffmeister, C.: 1954, IAU Circ. No. 1464
1	40	1960PASP...72...97W	Wild, P.: 1960, Publ.Astron.Soc.Pacific 72, 97
1	41	1955MmSAI..26..185P	Pietra, S.: 1955, Mem.Soc.Astr.Ital. 26, 185
1	42	1956PASP...68..271Z	Zwicky, F.: 1956, Publ.Astron.Soc.Pacific 68, 271
2	43	1968IAUC.2058....1Z	Zwicky, F.: 1968, IAU Circ. No. 2058
1	44	1964AJ.....69..759Z	Zwicky, F., Karpowicz, M.: 1964, Astron.J. 69, 759
2	45	1957IAUC.1588....1S	Schuerer, M.: 1957, IAU Circ. No. 1588
2	46	1957IAUC.1591....1A	Antal, M.: 1957, IAU Circ. No. 1591
1	47	1964AJ.....69..236B	Bertola, F.: 1964, Astron.J. 69, 236
2	48	1957Stern..33..127W	Wenzel, W.: 1957, Die Sterne 33, 127
0	48	-------------------	Wenzel, W.: 1957, Nachrichtenblatt der Astronomischen Zentralstelle,
0	48	-------------------	Vorl. Mitteilungen, Astronomisches Recheninstitut Heidelberg
1	49	1965AJ.....70..564Z	Zwicky, F., Karpowicz, M.: 1965, Astron.J. 70, 564
1	50	1964AJ.....69..236B	Bertola, F.: 1964, Astron.J. 69, 236
1	51	1958AN....284..141G	Goetz, W.: 1957, Astron. Nachr. 284, 141
1	52	1958AJ.....63..146G	Gaposchkin, S.: 1958, Astron.J. 63, 146
2	53	1957CMaPh........1R	Romano, G.: 1957, Comm.Padova No. 1
2	53	1989SSRv...27...10.	(= Ric.Sci.Roma 27, 10)
2	54	1957AcASn...5..321L	Li Tzin: 1957, Acta Astron. Sinica 5, 321
2	55	1957S&T....16..432R	Romano, G.: 1957, Sky Telescope 16, 432
2	56	1957S&T....16..432G	Gates, H.S.: 1957, Sky Telescope 16, 432
1	57	1962PASP...74..116M	Mihalas,D.: 1962, Publ.Astron.Soc.Pacific 74, 116
2	58	1964AJ.....69..236B	Bertola, F.: 1964, Astron.J. 69, 238
1	59	1961MmSAI..32..249T	Tempesti, P.: 1961, Mem.Soc.Astr.Ital. 32, 249
2	60	1960IAUC.1725....1H	Huth, H., Jones, A., Humason, M.: 1960, IAU Circ. No. 1721, 1723, 1725
1	61	1962MmSAI..33..147M	Mannino, G.: 1962, Mem.Soc.Astr.Ital. 33, 147
2	62	1960ATsir.215....2K	Kulikov, V.I.: 1960, Astron. Tsirk. No. 215, 2
2	63	1983PZP.....5..176T	Tsvetkov, D.Y.: 1983, Perm.Zvezdy 5, 176
0	63	-------------------	(new estimates of Kulikov's data)
2	64	1960IAUC.1750....1B	Bertola, F.: 1960, IAU Circ. No. 1750
1	65	1964AJ.....69..236B	Bertola, F.: 1964, Astron.J. 69, 239
2	66	1961ATsir.223....1Z	Zaitseva, G.V.: 1961, Astron. Tsirk. No. 223, 1
2	67	1983PZP.....5..176T	Tsvetkov, D.Y.: 1983, Perm.Zvezdy 5, 176
0	67	-------------------	(new estimates of Zaitseva's data)
2	68	1961AnHar1521.....G	Gates, H.S.: 1961, Harvard Coll.Ann.Card No. 1521
1	69	1961PASP...73..185Z	Zwicky, F.: 1961, Publ.Astron.Soc.Pacific 73, 185
2	70	1961IAUC.1759....1G	Gennaro, A., Romano, G.: 1961, IAU Circ. No. 1759
1	71	1962MmSAI..33...17R	Romano, G.: 1962, Mem.Soc.Astr.Ital. 33, 17
2	72	1983PZP.....5..176T	Tsvetkov, D.Y.: 1983, Perm.Zvezdy 5, 176
0	73	-------------------	van den Bergh, S., Henry, R.C.: 1961,
2	73	1989JRASC..55..173R	J.Roy.Astron.Soc. Canada 55, 173
2	74	1961IAUC.1772....1W	Wild, P.: 1961, IAU Circ. No. 1772
1	75	1964AJ.....69..236B	Bertola, F.: 1964, Astron.J. 69, 240
1	76	1967AJ.....72.1366Z	Zwicky, F., Barbon, R.: 1967, Astron.J. 72, 1366
1	77	1967AJ.....72..407R	Rudnicki, K., Zwicky, F.: 1967, Astron.J. 72, 407
1	78	1965MmSAI..36..299B	Bertola, F.: 1965, Mem.Soc.Astr.Ital. 36, 299
1	79	1964AnAp...27..319B	Bertola, F.: 1964, Ann.Astrophys. 257, 319
2	79	1989nane.conf..159C	(= Contr. Asiago No. 159)
0	79	-------------------	(photographic observations)
0	80	-------------------	(photoelectric observations)
2	81	1967TokAB.176.2131K	Kaho, S.: 1967, Tokyo, Astr. Bull. 176, 2131
2	82	1963Coel...31...52R	Rosino, L.: 1963, Coelum 31, 52
1	83	1963IBVS...37....1R	Rosino, L.: 1963, IBVS No. 37
1	84	1964PASP...76..325Z	Zwicky, F.: 1964, Publ.Astron.Soc.Pacific 76, 325
1	85	1968AJ.....73.1021K	Kowal, C.T.: 1968, Astron.J. 73, 1021
0	86	-------------------	Sargent, W.L.W., et al.: 1974, Supernovae and Supernova Remnants,
0	86	-------------------	ed. C.B. Cosmovici, Dordrecht: Reidel,p.33
2	87	1963IAUC.1816....1R	Rosino, L.: 1963, IAU Circ. No. 1816
1	88	1965MmSAI..36..299B	Bertola, F.: 1965, Mem.Soc.Astr.Ital. 36, 299
2	88	1989nane.conf..182C	(= Contr. Asiago No. 182)
1	89	1964MmSAI..35..129C	Chincarini, G., Margoni, R.: 1964, Mem.Soc.Astr.Ital. 35, 129
2	89	1989nane.conf..149C	(= Contr. Asiago No. 149)
1	90	1982A&A...116...43B	Barbon, F., Ciatti, F., Rosino, L.: 1982, Astron.Astrophys. 116, 43
0	90	-------------------	(new estimates of Chincarini's data)
2	91	1963IAUC.1831....1W	Wild, P.: 1963, IAU Circ. No. 1831
2	92	1964IAUC.1856....1K	Kaho, S., Tomita, K.: 1964, IAU Circ. No. 1856
2	93	1967TokAB.176.2131K	Kaho, S.: 1967, Tokyo Astr. Bull. 176, 2131
0	94	-------------------	Bertola, F., Mammano, A., Perinotto, M.: 1965,
2	94	1989ESASP.532..174C	Contr. Asiago No. 174
2	95	1963IAUC.1856....1W	Wild, P.: 1963, IAU Circ. No. 1856
2	96	1964IAUC.1856....1H	Haro, G.: 1964, IAU Circ. No. 1856
2	97	1964IAUC.1856....1K	Kaho, S.: 1964, IAU Circ. No. 1856
