#Filter	Date	(MJD)	phgr	(days)a	magb	1σ	Instrument
NUV	56393.07	−2.9	<23.69	-	GALEX
NUV	56394.03	−2.1	<23.70	-	GALEX
NUV	56395.05	−1.2	<23.63	-	GALEX
NUV	56396.02	−0.4	<23.65	-	GALEX
NUV	56397.04	0.5	21.58	0.06	GALEX
NUV	56398.00	1.3	21.60	0.06	GALEX
NUV	56399.02	2.2	22.14	0.10	GALEX
NUV	56399.98	3.0	22.40	0.07	GALEX
NUV	56401.01	3.9	22.05	0.15	GALEX
NUV	56401.96	4.7	23.35	0.12	GALEX
g	56325.60	−60.8	<23.16	-	Pan-STARRS1
g	56328.60	−58.2	<23.57	-	Pan-STARRS1
g	56331.60	−55.6	<23.90	-	Pan-STARRS1
g	56336.60	−51.3	<23.84	-	Pan-STARRS1
g	56354.60	−35.9	<23.25	-	Pan-STARRS1
g	56357.60	−33.3	<23.82	-	Pan-STARRS1
g	56384.50	−10.3	<23.35	-	Pan-STARRS1
g	56387.50	−7.7	<23.55	-	Pan-STARRS1
g	56390.40	−5.2	<23.48	-	Pan-STARRS1
g	56398.50	1.7	22.34	0.13	Pan-STARRS1
g	56401.30	4.1	22.41	0.23	Pan-STARRS1
g	56416.40	17.1	22.69	0.18	Pan-STARRS1
g	56421.30	21.3	22.98	0.17	Pan-STARRS1
g	56427.30	26.4	23.22	0.26	Pan-STARRS1
g	56430.40	29.1	24.44	1.13	Pan-STARRS1
g	56443.30	40.1	23.41	0.22	Pan-STARRS1
g	56451.30	47.0	24.03	0.52	Pan-STARRS1
g	56460.30	54.7	24.09	0.46	Pan-STARRS1
g	56478.30	70.1	26.19	3.25	Pan-STARRS1
r	56325.60	−60.8	<23.18	-	Pan-STARRS1
r	56328.60	−58.2	<23.37	-	Pan-STARRS1
r	56331.60	−55.6	<23.40	-	Pan-STARRS1
r	56332.60	−54.8	<23.51	-	Pan-STARRS1
r	56336.60	−51.3	<23.41	-	Pan-STARRS1
r	56354.60	−35.9	<23.17	-	Pan-STARRS1
r	56357.60	−33.3	<23.24	-	Pan-STARRS1
r	56371.50	−21.4	<23.31	-	Pan-STARRS1
r	56384.50	−10.3	<23.26	-	Pan-STARRS1
r	56387.50	−7.7	<23.14	-	Pan-STARRS1
r	56390.40	−5.2	<23.05	-	Pan-STARRS1
r	56398.50	1.7	23.12	0.34	Pan-STARRS1
r	56401.30	4.1	22.71	0.22	Pan-STARRS1
r	56416.40	17.1	22.48	0.19	Pan-STARRS1
r	56420.40	20.5	22.43	0.14	Pan-STARRS1
r	56427.30	26.4	22.36	0.16	Pan-STARRS1
r	56430.40	29.1	22.61	0.21	Pan-STARRS1
r	56443.30	40.1	23.08	0.32	Pan-STARRS1
r	56450.30	46.1	24.65	1.86	Pan-STARRS1
r	56460.30	54.7	23.16	0.30	Pan-STARRS1
r	56478.30	70.1	23.14	0.34	Pan-STARRS1
i	56323.60	−62.5	<22.79	-	Pan-STARRS1
i	56326.60	−59.9	<23.21	-	Pan-STARRS1
i	56332.60	−54.8	<23.34	-	Pan-STARRS1
i	56334.50	−53.1	<23.22	-	Pan-STARRS1
i	56337.60	−50.5	<23.29	-	Pan-STARRS1
i	56352.50	−37.7	<22.78	-	Pan-STARRS1
i	56355.50	−35.1	<23.29	-	Pan-STARRS1
i	56358.60	−32.5	<23.15	-	Pan-STARRS1
i	56369.40	−23.2	<23.05	-	Pan-STARRS1
i	56388.50	−6.8	<22.96	-	Pan-STARRS1
i	56391.40	−4.4	<23.16	-	Pan-STARRS1
i	56393.30	−2.7	<23.23	-	Pan-STARRS1
i	56396.50	0.0	<22.96	-	Pan-STARRS1
i	56399.40	2.5	23.05	0.29	Pan-STARRS1
i	56403.40	5.9	22.62	0.20	Pan-STARRS1
i	56411.40	12.8	22.27	0.35	Pan-STARRS1
i	56414.40	15.4	22.26	0.17	Pan-STARRS1
i	56417.40	17.9	22.39	0.18	Pan-STARRS1
i	56420.40	20.5	22.39	0.15	Pan-STARRS1
i	56422.30	22.1	22.32	0.16	Pan-STARRS1
i	56432.30	30.7	22.47	0.18	Pan-STARRS1
i	56444.30	41.0	22.44	0.17	Pan-STARRS1
i	56447.30	43.6	22.45	0.17	Pan-STARRS1
i	56450.30	46.1	22.52	0.25	Pan-STARRS1
i	56452.30	47.8	22.50	0.19	Pan-STARRS1
i	56455.30	50.4	22.53	0.18	Pan-STARRS1
i	56458.30	53.0	22.49	0.21	Pan-STARRS1
i	56462.30	56.4	22.71	0.21	Pan-STARRS1
i	56479.30	71.0	22.74	0.21	Pan-STARRS1
z	56324.60	−61.6	<22.64	-	Pan-STARRS1
z	56338.60	−49.6	<22.71	-	Pan-STARRS1
z	56348.60	−41.1	<22.47	-	Pan-STARRS1
z	56351.50	−38.6	<22.62	-	Pan-STARRS1
z	56353.50	−36.9	<22.56	-	Pan-STARRS1
z	56356.50	−34.3	<22.76	-	Pan-STARRS1
z	56359.60	−31.6	<22.61	-	Pan-STARRS1
z	56364.50	−27.4	<22.61	-	Pan-STARRS1
z	56370.40	−22.4	<22.73	-	Pan-STARRS1
z	56383.50	−11.1	<22.63	-	Pan-STARRS1
z	56386.30	−8.7	<22.67	-	Pan-STARRS1
z	56389.50	−6.0	<22.59	-	Pan-STARRS1
z	56392.30	−3.6	<22.67	-	Pan-STARRS1
z	56394.30	−1.9	<22.48	-	Pan-STARRS1
z	56397.40	0.8	<22.59	-	Pan-STARRS1
z	56400.40	3.4	23.17	0.63	Pan-STARRS1
z	56402.30	5.0	22.11	0.27	Pan-STARRS1
z	56404.30	6.7	22.40	0.29	Pan-STARRS1
z	56410.40	11.9	22.60	0.36	Pan-STARRS1
z	56412.40	13.6	22.48	0.32	Pan-STARRS1
z	56415.40	16.2	22.29	0.25	Pan-STARRS1
z	56421.40	21.4	22.51	0.30	Pan-STARRS1
z	56423.40	23.1	22.10	0.22	Pan-STARRS1
z	56429.30	28.1	22.32	0.27	Pan-STARRS1
z	56451.30	47.0	22.42	0.30	Pan-STARRS1
z	56453.30	48.7	22.95	0.64	Pan-STARRS1
z	56456.30	51.3	22.31	0.27	Pan-STARRS1
z	56459.30	53.8	22.55	0.31	Pan-STARRS1
z	56461.30	55.6	22.61	0.36	Pan-STARRS1
z	56463.30	57.3	22.66	0.35	Pan-STARRS1
z	56480.30	71.8	22.00	0.35	Pan-STARRS1
