53973.96 18.62 0.03 1
53982.00 16.22 0.03 0
53987.98 15.72 0.03 0
53995.04 15.12 0.03 0
54003.03 14.72 0.03 0
54007.95 14.62 0.03 0
54014.97 14.42 0.03 0
54020.99 14.32 0.03 0
54026.92 14.27 0.03 0
54033.92 14.22 0.03 0
54038.85 14.22 0.03 0
54047.81 14.28 0.03 0
54049.92 14.28 0.03 0
54055.87 14.38 0.03 0
54061.88 14.49 0.03 0
54068.89 14.60 0.03 0
54076.83 14.90 0.03 0
54087.75 15.15 0.03 0
54089.77 15.24 0.03 0
54092.75 15.26 0.03 0
54094.76 15.46 0.03 0
54098.76 15.45 0.03 0
54102.74 15.54 0.03 0
54106.71 15.71 0.03 0
54121.71 15.97 0.03 0
54125.72 16.03 0.03 0
54130.60 16.26 0.03 0
54133.64 16.29 0.03 0
54134.63 16.24 0.03 0
54135.61 16.38 0.05 0
54137.69 16.35 0.04 0
54150.62 16.58 0.03 0
54162.65 16.68 0.05 0
54166.63 16.76 0.05 0
54168.64 16.71 0.05 0
54170.63 16.70 0.05 0
54171.63 16.72 0.05 0
54173.63 16.76 0.06 0
54174.64 16.75 0.07 0
54175.64 16.59 0.05 0
54177.64 16.79 0.05 0
54178.64 16.77 0.05 0
54181.64 16.71 0.05 0
54183.64 16.74 0.05 0
54184.64 16.74 0.08 0
