#Name    R.A.    decl.   Redshift    Discovery   Discovery   
#    (J2000) (J2000)     Date    Mag 
PTF10iam	15:45:30.85	+54:02:33.0	0.109	2010 May 22	19.14 +or- 0.11 
SNLS04D4ec	22:16:29.29	-18:11:04.1	0.593	2004 Jul 9	22.70 +or- 0.06 
SNLS05D2bk	10:02:13.96	+02:05:55.2	0.699	2005 Jan 15	23.33 +or- 0.06 
SNLS06D1hc	02:24:48.25	-04:56:03.6	0.555	2006 Nov 14	22.55 +or- 0.04 
