#JD	B	V	R	I
2450646.31	-	17.27	16.96	-	43.32
2450661.28	-	17.41	17.17	-	43.25
2450670.21	-	17.48	17.23	-	43.23
2450670.80	18.04	17.48	17.25	16.92	-
2450681.74	-	17.57	17.33	-	43.19
2450698.79	18.28	17.72	17.48	-	-
2450700.22	-	17.73	17.49	-	43.12
2450709.27	-	17.77	17.60	-	43.10
2450720.16	-	17.87	17.66	-	43.06
2450727.05	-	17.95	17.70	-	43.04
2450739.06	-	18.04	17.77	-	43.01
2450760.09	-	18.12	17.90	-	42.97
2450775.06	-	18.27	18.00	-	42.91
2450805.66	18.95	18.41	18.18	18.04	-
2450814.07	-	18.46	18.37	-	42.80
2450825.96	-	18.47	18.30	-	42.81
2450835.04	-	18.57	18.33	-	42.79
2450862.97	-	18.69	18.48	-	42.74
2450870.97	-	18.78	18.56	-	42.70
2450888.92	-	18.81	18.62	-	42.68
2450916.54	-	19.17	-	-	-
2451008.88	-	19.54	19.67	-	42.33
2451026.87	-	20.02	19.91	-	42.18
2451047.83	-	20.27	20.08	-	42.10
2451053.83	-	20.36	20.13	-	42.07
2451056.81	-	20.38	20.21	-	42.05
2451062.83	-	20.36	-	-	-
2451072.70	-	20.4	20.35	-	42.02
2451086.80	-	20.44	-	-	-
2451101.71	-	21.15	20.89	-	41.76
2451107.64	-	21.26	21.17	-	41.68
2451113.73	-	21.33	-	-	-
