#Name	RA (J2000)	Dec (J2000)	Disc. MJD	Disc Mag	Spec MJD	Type	Spec $z$	Aliases
PS15dcq	03 22 55.83	+34 59 23.6	57384.29	19.99	57388.92	Ia	0.072	iPTF15fgy
PS15dov	03 43 57.36	+39 17 43.7	57384.32	19.73	57386.32	II	0.016702	
PS15dot	02 11 55.69	+13 28 17.8	57384.34	20.97	57386.30	II	0.149	
PS15coh	02 15 58.45	+12 14 13.6	57384.34	17.72	57329.22	Ia	0.020	ASASSN-15rw, iPTF15fev
PS15dow	02 19 42.20	+14 09 54.7	57384.34	20.22	57387.21	Ib	0.05	
PS15csf	02 26 02.24	+17 03 40.4	57384.35	18.68	57335.18	II	0.021	
PS15dom	02 34 45.62	+18 20 37.7	57384.35	19.01	57390.	II	0.034	PSN J02344555+182039, iPTF15fdv
PS15don	02 37 11.44	+19 03 20.2	57384.35	20.47	57388.20	Ia	0.160	
PS15doy	02 47 54.16	+21 46 24.0	57384.38	20.75	57388.23	Ia	0.190	
PS15dox	02 40 15.05	+22 32 12.1	57384.38	19.23	57389.06	Ia	0.080	
PS15dpq	03 09 12.74	+27 31 16.9	57384.39	18.84	57389.04	Ia	0.038	iPTF15fel
PS15dpa	02 57 56.02	+28 53 37.1	57384.40	19.51	57389.03	Ia	0.079	MASTER OTJ025756.02+285337
PS15dpl	05 47 45.39	+53 36 32.4	57384.43	19.34	57387.40	Ia	0.03	SN2016J, ASASSN-16ah
PS15dpe	05 44 42.66	+52 24 57.9	57384.43	19.44	57388.25	Ia	0.057	
PS16ku	02 19 06.15	+10 37 45.5	57385.22	20.95	57401.24	II	0.061	
PS15dpn	02 32 59.75	+18 38 07.0	57385.23	20.69	57387.23	Ibn	0.1747	iPTF15fgl
PS15doz	02 53 41.68	+27 29 57.8	57385.25	20.69	-	-	-	
PS15dpc	03 55 46.16	+38 52 49.6	57385.27	20.95	57387.26	II	0.056	
PS15dqc	05 51 13.43	+52 28 18.7	57385.29	21.16	-	-	-	
PS15cvo	02 20 37.39	+17 02 17.9	57385.31	20.45	-	-	-	MASTER022037.36+170217.5
PS15dpz	02 40 33.01	+23 00 10.8	57385.32	21.15	-	-	-	
PS15dpb	03 42 23.40	+39 14 40.4	57385.36	20.20	57386.43	II	0.041045	
PS15dpg	03 17 18.88	+32 20 06.9	57385.41	20.86	-	-	-	
PS15dpx	06 04 35.54	+53 35 25.8	57385.56	20.76	57395.48	-	0.051	
PS15dou	06 03 38.73	+54 41 12.1	57385.56	20.20	57395.51	II	0.079	
PS15dpu	02 40 41.35	+16 49 52.0	57386.22	17.26	57396.88	II	0.0292	ASASSN-15un
PS16cks	04 22 33.25	+43 36 53.0	57386.31	21.45	-	-	-	
PS15dqd	05 56 14.60	+52 51 55.2	57386.37	19.92	-	-	-	
PS15dqe	06 05 26.88	+54 09 11.3	57386.37	21.51	-	-	-	
PS16kv	02 22 53.41	+19 15 49.9	57388.22	21.70	-	-	-	
PS16kx	02 44 42.28	+22 36 39.5	57389.32	21.81	-	-	-	
PS16cld	04 51 13.33	+48 59 21.2	57392.26	21.17	-	-	-	
PS16kw	02 35 50.63	+17 33 38.2	57394.22	21.27	-	-	-	
PS16ky	03 22 34.61	+30 36 07.1	57397.31	20.89	-	-	-	
PS16bpe	02 38 48.30	+22 05 56.4	57397.34	21.56	-	-	-	
PS16bpf	02 56 00.56	+24 48 51.8	57397.38	21.83	-	-	-	
PS16bpj	03 29 06.15	+35 39 07.5	57397.39	21.82	-	-	-	
PS15bpk	02 37 09.56	+22 24 02.4	57402.28	21.33	-	-	-	
PS16bpg	02 56 40.73	+27 40 12.0	57402.28	20.46	-	-	-	
PS16bps	06 04 34.63	+53 35 38.8	57402.39	21.20	-	-	-	
PS16bpu	03 43 57.13	+39 17 38.4	57402.42	19.34	-	-	0.016702	
PS16bpw	03 06 54.05	+28 44 23.2	57413.26	21.53	-	-	-	
PS16bqa	02 38 57.24	+18 10 40.4	57413.30	21.69	-	-	-	
PS16aeo	03 30 46.70	+36 38 23.0	57414.28	19.67	-	-	-	
PS16bpz	06 31 15.13	+54 51 52.3	57414.35	20.18	-	-	-	
PS16bqd	02 37 13.27	+18 59 53.2	57438.27	22.20	-	-	-	
PS16bqc	02 34 01.62	+18 12 56.0	57443.27	22.45	-	-	-	
