03D1as	02:24:24.520	-04:21:40.19	2003-09-27	03D1as	0.872	0.001	SN:	2	\nodata	\nodata	\nodata 	\ion{O}{2}: 
03D1ax	02:24:23.320	-04:43:14.41	2003-09-29	03D1ax	0.496	0.001	SN Ia	5	-3.0	0.1	-3.3 	H\&K 
03D1bk	02:26:27.410	-04:32:11.99	2003-09-28	03D1bk	0.8650	0.0005	SN Ia	5	-6.3	0.1	-2.1 	H\&K, H$\beta$, H$\gamma$ 
03D1cj	02:26:25.081	-04:12:39.89	2003-10-26	03D1cj	0.364	0.001	SN Ib/c:	1	\nodata	\nodata	\nodata 	H$\alpha$, \ion{O}{3} 
03D1cm	02:24:55.288	-04:23:03.68	2003-10-27	03D1cm	0.87	0.02	SN Ia	4	-5.0	0.3	2.4 	SN 
03D1co	02:26:16.238	-04:56:05.76	2003-11-01	03D1co	0.68	0.01	SN Ia	5	-4.8	0.3	-1.2 	SN 
03D1ew	02:24:14.088	-04:39:56.98	2003-12-21	03D1ew	0.868	0.001	SN Ia	5	0.9	0.4	-0.2 	\ion{O}{2} 
03D1fp	02:26:03.073	-04:08:02.02	2003-12-26	03D1fp	0.270	0.001	SN IIb	0	\nodata	\nodata	\nodata 	H$\alpha$, H$\beta$, \ion{N}{2}, \ion{O}{2}, \ion{S}{2} 
03D1fq	02:26:55.683	-04:18:08.10	2003-12-24	03D1fq	0.80	0.02	SN Ia	4	-1.6	0.3	2.2 	SN 
03D4cj	22:16:06.660	-17:42:16.72	2003-08-26	03D4cj	0.27	0.01	SN Ia	5	-9.7	0.1	-6.9 	SN 
03D4ck	22:15:08.910	-17:56:02.17	2003-08-27	03D4ck	0.189	0.001	SN IIn	0	\nodata	\nodata	\nodata 	SN 
03D4cn	22:16:34.600	-17:16:13.55	2003-08-27	03D4cn	0.818	0.001	SN Ia	4	-0.5	0.6	2.8 	\ion{O}{2}, \ion{O}{3}, H$\beta$ 
03D4cy	22:13:40.460	-17:40:53.90	2003-09-26	03D4cy	0.9271	0.0005	SN Ia	4	5.3	0.3	7.7 	\ion{O}{2} 
03D4cz	22:16:41.870	-17:55:34.54	2003-09-27	03D4cz	0.695	0.001	SN Ia	4	9.4	0.1	8.7 	H\&K, G-band 
03D4fd	22:16:14.471	-17:23:44.37	2003-10-24	03D4fd	0.791	0.003	SN Ia	5	-1.6	0.3	-1.5 	\ion{O}{2} 
03D4fe	22:16:08.844	-17:55:19.21	2003-10-24	03D4fe	?	\nodata	SN:	1	\nodata	\nodata	\nodata 	\nodata 
03D4gl	22:14:44.177	-17:31:44.47	2003-10-29	03D4gl	0.56	0.01	SN Ia	4	-9.0	0.2	-6.0 	SN 
04D1de	02:26:35.925	-04:25:21.65	2004-08-17	04D1de	0.7677	0.0002	SN Ia*	3	-6.8	0.1	-4.5 	\ion{O}{2}, \ion{O}{3}, H$\beta$, poss  H\&K 
04D1dr	02:27:23.905	-04:51:27.43	2004-08-14	04D1dr	0.6414	0.0003	SN:	2	\nodata	\nodata	\nodata 	\ion{O}{2}, \ion{O}{3}, H$\beta$, H$\gamma$ 
04D1hd	02:26:08.850	-04:06:35.22	2004-09-13	04D1hd	0.3685	0.0005	SN Ia	5	-4.8	0.1	-4.0 	\ion{O}{3}, weak \ion{O}{2} 
04D1ho	02:24:44.856	-04:39:15.55	2004-09-16	04D1ho	0.7012	0.0004	SN	2	\nodata	\nodata	\nodata 	\ion{O}{2}, \ion{O}{3}, H\&K, H$\beta$, H$\gamma$ 
04D1hy	02:24:08.678	-04:49:52.22	2004-09-11	04D1hy	0.85	0.02	SN Ia	5	-3.5	0.3	-3.2 	SN 
04D1jf	02:25:18.914	-04:49:09.05	2004-10-13	04D1jf	0.3800	0.0002	SN:	2	\nodata	\nodata	\nodata 	\ion{O}{2}, \ion{O}{3}, H$\beta$ 
04D1ln	02:25:53.482	-04:27:03.75	2004-10-17	04D1ln	0.2072	0.0002	SN II-P	0	\nodata	\nodata	\nodata 	H$\alpha$, \ion{N}{2}, \ion{S}{2} 
04D1ow	02:26:42.708	-04:18:22.55	2004-11-08	04D1ow	0.93	0.02	SN Ia	4	2.6	0.2	-0.8 	SN 
04D2aa	10:02:02.100	+02:40:51.76	2004-01-23	04D2aa	?	\nodata	SN:	2	\nodata	\nodata	\nodata 	\nodata 
04D2ad	10:00:08.093	+02:39:01.40	2004-01-22	04D2ad	0.6802	0.0002	SN:	2	\nodata	\nodata	\nodata 	\ion{O}{2}, \ion{O}{3}, H$\beta$ 
04D2ae	10:01:52.414	+02:13:21.11	2004-01-21	04D2ae	0.843	0.001	SN Ia	4	0.0	0.1	-1.5 	H\&K 
04D3aa	14:16:49.935	+52:45:31.12	2004-01-30	04D3aa	0.2045	0.0002	SN II	0	\nodata	\nodata	\nodata 	H$\alpha$, H$\beta$, \ion{O}{3}, \ion{S}{2} 
04D3ae	14:22:21.569	+52:21:39.21	2004-01-25	04D3ae	0.217	0.001	SN II	0	\nodata	\nodata	\nodata 	H$\alpha$, \ion{O}{3} 
04D3ax	14:22:39.072	+52:51:52.57	2004-01-28	04D3ax	0.3558	0.0002	SN II:	1	\nodata	\nodata	\nodata 	H$\alpha$, H$\beta$, \ion{O}{3} 
04D3bf	14:17:45.096	+52:28:04.31	2004-02-17	04D3bf	0.1560	0.0005	SN Ia	5	\nodata	\nodata	15.1 	\ion{O}{2}, \ion{O}{3}, \ion{S}{2}, H$\alpha$, H$\beta$ 
04D3dd	14:17:48.431	+52:28:14.72	2004-04-25	04D3dd	1.01	0.02	SN Ia	4	2.9	0.3	-1.4 	SN 
04D3de	14:22:13.503	+52:17:09.71	2004-04-27	04D3de	?	\nodata	SN II-P	0	\nodata	\nodata	\nodata 	\nodata 
04D3fj	14:19:50.703	+52:41:31.84	2004-04-28	04D3fj	?	\nodata	SN:	1	\nodata	\nodata	\nodata 	\nodata 
04D3fq	14:16:57.906	+52:22:46.53	2004-04-26	04D3fq	0.73	0.01	SN Ia	4	0.8	0.3	3.6 	SN 
04D3gu	14:22:07.359	+52:38:54.60	2004-05-22	04D3gu	0.748	0.001	SN:	2	\nodata	\nodata	\nodata 	H\&K, Balmer, weak  \ion{O}{2} 
04D3gx	14:20:13.678	+52:16:58.60	2004-05-21	04D3gx	0.91	0.02	SN Ia*	3	10.8	0.2	8.3 	SN 
04D3hn	14:22:06.878	+52:13:43.46	2004-05-22	04D3hn	0.5516	0.0003	SN Ia	5	7.2	0.1	4.9 	H\&K, Balmer 
04D3kr	14:16:35.937	+52:28:44.20	2004-06-16	04D3kr	0.3373	0.0002	SN Ia	5	4.4	0.1	1.7 	\ion{O}{2}, \ion{O}{3}, H$\beta$ 
04D3lp	14:19:50.927	+52:30:11.85	2004-05-27	04D3lp	0.983	0.001	SN Ia*	3	1.0	0.2	-1.2 	\ion{O}{2} 
