#MJD		u'		g'		r'		i'		z'
57077.17	17.08	0.05	16.87	0.04	16.95	0.06	17.10	0.03	17.21	0.04	
57080.08	16.98	0.04	16.82	0.03	16.94	0.05	17.05	0.02	17.23	0.02	
57082.94	17.11	0.07	16.79	0.04	16.92	0.05	17.01	0.02	17.18	0.03	
57086.01	17.01	0.04	16.77	0.08	16.90	0.05	17.01	0.07	17.13	0.04	
57093.02	16.78	0.04	16.63	0.03	16.78	0.05	16.92	0.02	17.07	0.03	
57095.93	16.79	0.03	16.61	0.04	16.77	0.05	16.89	0.02	17.05	0.02	
57116.93	16.98	0.10	16.83	0.04	16.91	0.07	16.95	0.07	17.09	0.03	
57122.85	17.29	0.07	17.00	0.06	17.01	0.05	17.05	0.02	17.14	0.03	
57129.94	17.62	0.02	17.14	0.02	17.16	0.05	17.19	0.02	17.20	0.02	
57132.93	17.76	0.03	17.24	0.03	17.20	0.05	17.22	0.02	17.21	0.02	
57135.94	17.92	0.03	17.32	0.02	17.26	0.05	17.27	0.02	17.32	0.02	
57138.86	18.09	0.04	17.35	0.03	17.29	0.05	17.31	0.02	17.35	0.02	
57144.89	18.09	0.08	17.55	0.06	17.41	0.06	17.34	0.03	17.37	0.05	
57150.96	18.21	0.03	17.51	0.03	17.39	0.05	17.35	0.02	17.37	0.03	
57162.90	18.47	0.05	17.78	0.03	17.56	0.05	17.51	0.02	17.49	0.02	
57166.92	18.55	0.04	17.86	0.04	17.68	0.06	17.58	0.03	17.52	0.03	
57176.95	18.95	0.05	18.18	0.03	17.90	0.06	17.75	0.03	17.72	0.03	
