#MJD		g'		r'		i'		z'

57071.60	16.89	0.05	n	n	17.12	0.09	n	n
57072.59	16.80	0.04	16.98	0.06	17.18	0.07	17.44	0.13
57073.88	16.81	0.09	17.02	0.06	17.16	0.08	n	n
57077.62	16.83	0.03	16.92	0.06	17.13	0.06	n	n	
57081.50	16.78	0.08	17.00	0.06	17.05	0.04	n	n
57085.22	16.63	0.09	16.95	0.08	16.98	0.06	n	n
57090.97	16.68	0.03	16.82	0.13	16.95	0.11	n	n
57094.87	16.64	0.04	16.75	0.07	16.90	0.09	n	n
57098.61	16.62	0.06	16.80	0.05	16.89	0.04	n	n
57102.52	16.61	0.04	16.72	0.06	16.87	0.06	n	n
57106.44	16.67	0.14	16.84	0.13	16.92	0.13	n	n
57110.16	16.75	0.05	16.85	0.06	16.88	0.08	n	n
57120.15	16.96	0.10	16.99	0.06	17.03	0.08	n	n
57123.87	17.07	0.15	17.12	0.14	17.20	0.12	n	n
57127.72	17.18	0.19	17.21	0.14	17.18	0.14	n	n
57131.71	17.33	0.15	17.30	0.14	17.39	0.10	n	n
57135.44	17.42	0.14	17.28	0.08	17.33	0.06	n	n
57138.88	17.41	0.06	17.33	0.07	17.35	0.07	n	n
57144.71	17.60	0.08	17.50	0.09	17.40	0.11	n	n
57150.03	17.55	0.03	17.43	0.05	17.32	0.03	n	n
57155.76	17.60	0.03	17.44	0.06	17.43	0.07	n	n
57161.70	17.66	0.03	17.66	0.08	17.42	0.10	n	n
57162.73	17.84	0.03	17.66	0.06	n	n	n	n
57173.38	n	n	17.75	0.06	17.69	0.06	n	n
57179.11	18.18	0.05	17.88	0.06	17.85	0.05	n	n
57184.96	18.28	0.02	18.06	0.05	17.97	0.06	n	n
57192.71	18.41	0.03	18.12	0.06	17.98	0.04	n	n
57199.38	18.39	0.04	18.23	0.06	18.07	0.06	n	n
57206.34	18.33	0.09	18.17	0.09	17.98	0.11	n	n
57212.39	18.42	0.04	18.31	0.06	18.22	0.04	n	n
57217.73	18.53	0.04	18.37	0.06	18.25	0.09	n	n
57230.35	18.68	0.05	18.42	0.07	18.26	0.06	n	n
57236.71	18.71	0.10	18.53	0.09	18.39	0.10	n	n
