#MJD		g'	r'	i'	z'
57401.58	21.02	0.15	20.66	0.16	20.52	0.15	20.45	0.16
57403.50	21.09	0.15	20.82	0.16	20.63	0.16	20.46	0.20
57409.47	nan	nan	20.85	0.21	20.61	0.19	20.57	0.23
57425.63	21.32	0.18	21.34	0.19	21.27	0.19	nan	nan
57433.55	21.62	0.20	21.56	0.21	21.39	0.19	20.54	0.22
57437.72	21.59	0.19	21.49	0.20	21.31	0.20	20.97	0.26
57450.52	21.63	0.18	21.59	0.21	21.36	0.18	nan	nan
57458.57	21.96	0.21	21.61	0.22	21.55	0.26	nan	nan
57465.53	22.12	0.24	22.12	0.23	21.49	0.23	21.56	0.26
