2458854.75760 22 -1 6.37 350.0
2458860.66686 22 -1 5.43 338.0
2458863.69484 22 -1 1.72 399.0
2458870.54006 21.342 0.275 6.31 177.0
2458877.54634 21.377 0.276 6.21 221.0
2458883.53962 21.942 0.432 6.13 182.0
2458892.53884 21.479 0.341 7.33 123.0
2458903.52356 19.110 0.039 6.75 161.0
2458910.57248 19.209 0.044 7.20 185.0
2458917.56215 19.444 0.059 6.03 511.0
2458922.54781 19.638 0.059 6.45 213.0
