2456123.93370 103.149 9.999 5.40  313.0
2456137.93162 103.149 9.999 5.32  381.0
2456164.91972 103.149 9.999 6.18  496.0
2456166.90284 23.776 1.906 4.14  326.0
2456171.89725 20.603 0.128 4.14  535.0
2456180.87584 19.947 0.109 6.29  486.0
2456181.88999 19.786 0.054 4.40  293.0
2456182.89457 19.866 0.064 5.49  212.0
2456183.89627 19.835 0.053 4.66  203.0
2456185.87255 19.834 0.059 4.53  325.0
2456186.87403 19.860 0.053 4.04  300.0
2456191.89969 20.185 0.078 4.21  386.0
2456193.90771 19.963 0.132 3.87 2167.0
2456196.88932 20.351 0.089 4.08  390.0
2456199.83836 20.678 0.253 8.00  425.0
2456202.84580 20.564 0.179 5.99  477.0
2456204.88099 20.458 0.109 4.56  363.0
2456212.84533 20.645 0.150 5.43  386.0
2456216.84316 20.298 0.073 4.02  289.0
2456219.82814 20.721 0.169 6.61  272.0
2456221.84143 20.972 0.208 5.80  355.0
2456222.84238 20.781 0.156 5.07  316.0
2456223.79948 21.240 0.221 4.72  392.0
2456224.86508 21.253 0.207 4.38  339.0
2456225.74707 21.875 0.563 6.02  383.0
2456226.75946 20.911 0.211 5.48  446.0
2456229.80200 20.660 0.168 4.73  575.0
2456230.74584 21.150 0.321 5.39  677.0
2456231.77068 21.276 0.298 5.22  536.0
2456232.83673 21.995 0.461 4.53  388.0
2456233.84589 20.986 0.162 4.26  378.0
2456234.84708 22.240 0.433 3.75  364.0
2456235.79447 21.595 0.265 3.88  384.0
2456236.81208 21.118 0.188 4.08  379.0
2456238.84581 21.941 0.359 4.22  269.0
2456239.81986 21.557 0.280 4.67  304.0
2456240.86311 22.853 1.343 6.06  398.0
2456241.81677 22.032 0.495 5.55  280.0
2456242.85970 21.726 0.332 4.24  423.0
2456243.82850 21.583 0.288 4.46  339.0
2456244.76884 22.237 0.474 4.75  221.0
2456245.78540 21.702 0.314 4.42  299.0
2456248.80211 22.064 0.418 4.66  272.0
2456251.79273 22.352 0.466 4.03  279.0
2456254.80263 21.673 0.261 4.40  253.0
2456257.83164 23.200 2.306 7.15  370.0
2456262.75484 22.025 0.480 4.59  451.0
2456265.82765 103.149 9.999 4.98  295.0
2456270.85220 22.484 1.140 7.33  347.0
2456274.83451 22.193 0.500 5.09  240.0
2456278.78223 22.659 0.912 6.27  240.0
2456282.80443 22.533 0.748 5.92  230.0
2456282.80443 22.533 0.748 5.92  230.0
2456286.73773 103.149 9.999 4.92  357.0
2456289.80703 103.149 9.999 4.35  791.0
2456294.82900 103.149 9.999 5.01  393.0
2456299.78555 103.149 9.999 5.14  405.0
2456306.72571 103.149 9.999 5.69  295.0
2456312.71718 103.149 9.999 4.22  338.0
2456317.71202 23.168 1.447 4.28  469.0
2456323.68492 24.288 4.686 6.56  273.0
2456329.64376 103.149 9.999 6.38  353.0
2456333.63536 103.149 9.999 6.83  226.0
2456340.64676 23.023 1.027 5.05  212.0
2456343.59053 22.761 0.919 4.93  300.0
2456347.61686 24.315 5.122 5.47  489.0
2456356.63420 24.944 6.437 4.55  332.0
2456363.55171 103.149 9.999 4.83  393.0
2456368.54995 21.710 0.384 4.89  349.0
2456371.57460 103.149 9.999 4.30  427.0
2456376.54797 22.715 1.198 5.45  539.0
2456378.52234 22.272 0.775 4.41  667.0
2456378.55978 22.675 1.117 4.22  749.0
2456379.53624 103.149 9.999 4.29  637.0
2456380.54712 22.387 0.860 4.46  599.0
2456381.54901 103.149 9.999 3.93  458.0
2456382.54028 22.157 0.621 5.50  334.0
2456383.62740 21.424 0.419 6.88  418.0
2456385.51744 103.149 9.999 5.07  293.0
2456387.54984 103.149 9.999 4.60  362.0
2456396.55540 23.076 1.328 5.25  477.0
2456404.54057 103.149 9.999 4.77  592.0
2456416.51653 103.149 9.999 7.15  458.0
2456509.93499 21.476 0.300 4.05  638.0
2456520.87664 21.942 0.411 4.25  379.0
2456520.90819 21.617 0.288 4.36  349.0
2456531.91935 23.287 1.587 4.46  457.0
2456547.88601 103.149 9.999 5.29  251.0
2456560.82586 103.149 9.999 4.16  247.0
2456561.85290 103.149 9.999 5.71  283.0
2456571.85969 22.768 0.746 4.19  300.0
2456578.87964 24.944 6.774 4.36  464.0
2456583.80644 103.149 9.999 5.25  520.0
