2458121.84001 22 -1 4.52 744.0
2458133.80732 22 -1 5.81 355.0
2458139.69393 22 -1 4.08 311.0
2458147.76649 22 -1 4.06 626.0
2458164.68823 21.650 0.417 6.41 373.0
2458173.68638 22 -1 5.02 573.0
2458192.55272 22 -1 9.99 0.0
2458201.55661 22 -1 5.40 456.0
2458207.57737 22 -1 4.46 903.0
2458210.56967 21.576 0.597 6.29 706.0
2458215.56213 22 -1 6.52 415.0
2458222.57161 22 -1 5.74 434.0
2458227.54030 22 -1 4.03 476.0
2458231.54506 21.771 0.418 4.33 608.0
2458238.52675 22 -1 4.74 990.0
2458360.91197 17.839 0.016 2.21 446.0
2458368.89774 18.552 0.023 5.10 299.0
2458381.90737 18.312 0.022 1.49 955.0
2458385.89521 18.678 0.025 4.29 563.0
2458394.88375 18.577 0.028 5.47 588.0
2458406.82547 19.620 0.068 9.99 0.0
2458410.73719 19.792 0.065 5.22 315.0
2458414.80488 19.578 0.063 5.40 468.0
2458417.79103 19.881 0.102 5.45 563.0
2458418.76337 19.557 0.050 3.80 485.0
2458425.74962 19.407 0.038 5.07 247.0
2458426.76355 19.640 0.049 5.38 242.0
2458429.75501 19.592 0.052 4.52 402.0
2458436.70058 19.901 0.065 6.01 227.0
2458439.74964 19.916 0.068 4.74 318.0
2458443.75549 19.582 0.055 4.64 489.0
2458447.71679 19.885 0.073 4.57 456.0
2458452.72883 20.007 0.056 4.34 243.0
2458457.74910 20.211 0.100 5.32 349.0
2458462.85600 20.124 0.092 4.90 545.0
2458466.86015 20.053 0.099 4.67 605.0
2458472.82656 20.266 0.103 4.36 502.0
