2457025.72566 22 -1 9.99 0.0
2457028.57599 22 -1 1.53 1516.0
2457033.64936 22 -1 4.85 404.0
2457037.63097 22 -1 4.36 306.0
2457040.65366 22 -1 4.79 240.0
2457045.62810 22 -1 6.89 257.0
2457050.62395 22 -1 3.55 265.0
2457055.61062 22 -1 4.43 482.0
2457061.65637 22 -1 5.62 531.0
2457067.58630 22 -1 2.03 277.0
2457072.55387 22 -1 5.69 282.0
2457081.55795 22 -1 9.99 0.0
2457093.51715 22 -1 6.69 411.0
2457226.91844 22 -1 5.43 282.0
2457230.90155 22 -1 5.00 435.0
2457253.92273 22 -1 5.05 356.0
2457260.90287 22 -1 5.71 295.0
2457270.86607 22 -1 5.35 302.0
2457282.84600 22 -1 6.46 283.0
2457288.85771 22 -1 7.73 279.0
2457295.72075 22 -1 4.34 501.0
2457302.77270 22 -1 6.57 208.0
2457311.73283 22 -1 4.25 142.0
2457318.72618 22 -1 4.35 369.0
2457327.76162 22 -1 5.99 318.0
2457341.72046 22 -1 7.88 284.0
2457346.69889 22 -1 4.40 369.0
2457354.77922 22 -1 3.99 479.0
2457357.73944 22 -1 4.67 315.0
2457361.72042 22 -1 4.34 310.0
2457365.71807 22 -1 4.19 164.0
2457371.70945 22 -1 5.13 233.0
2457374.69775 22 -1 4.38 205.0
2457378.68338 22 -1 4.82 484.0
2457383.68347 22 -1 4.16 462.0
2457386.64973 22 -1 4.05 353.0
2457395.62852 19.045 0.050 8.03 255.0
2457401.64750 19.041 0.026 3.76 247.0
2457405.65343 19.060 0.034 4.53 415.0
2457410.68521 19.588 0.073 5.04 719.0
2457425.65302 19.429 0.055 5.94 314.0
2457429.65655 19.742 0.050 2.96 445.0
2457436.60053 20.314 0.089 4.19 371.0
2457441.59988 20.519 0.152 4.08 703.0
2457448.60330 20.756 0.128 4.99 271.0
2457458.59059 21.055 0.207 4.95 313.0
2457463.53667 21.091 0.160 4.51 278.0
2457468.50914 21.035 0.256 5.80 518.0
2457473.52568 22 -1 5.45 557.0
2457601.90030 22 -1 5.09 315.0
2457604.89104 22 -1 4.41 197.0
2457608.85972 22 -1 5.02 278.0
2457608.90363 22 -1 4.51 230.0
2457611.86350 22 -1 6.27 306.0
2457617.88722 22 -1 5.00 388.0
2457621.89344 22 -1 5.01 372.0
2457623.90724 22 -1 4.64 297.0
2457625.84880 22 -1 3.76 184.0
2457629.87541 22 -1 5.66 197.0
2457632.86267 22 -1 4.57 270.0
2457637.87610 22 -1 5.08 270.0
2457643.83117 22 -1 6.30 251.0
2457647.79605 22 -1 3.43 547.0
2457651.77722 22 -1 4.86 390.0
2457654.81169 22 -1 5.69 321.0
2457658.81506 22 -1 4.22 265.0
2457660.79077 22 -1 5.76 216.0
2457663.77102 22 -1 3.53 233.0
2457667.78394 22 -1 4.40 197.0
2457676.79152 22 -1 5.16 599.0
2457682.79750 22 -1 4.67 395.0
2457686.78210 22 -1 5.50 346.0
2457692.65159 22 -1 4.42 310.0
2457699.72294 22 -1 4.54 332.0
2457703.61996 22 -1 3.72 389.0
2457707.61874 22 -1 4.36 765.0
2457710.67126 22 -1 4.30 309.0
2457716.67127 22 -1 9.99 0.0
2457724.66734 22 -1 9.99 0.0
2457736.72000 22 -1 4.68 882.0
